,Hange Zoe,Luke Warm Lager,Johanna Jewel,Lightning Fiamma,Skedaddle Amber,Regal Melody,Pandas Buddy,Pockets Pontoon
0,"[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 18, 631568), 16.0, 50.0]"
1,"[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 19, 807531), 16.0, 50.0]"
2,"[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 20, 960243), 16.0, 50.0]"
3,"[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 22, 100216), 16.0, 50.0]"
4,"[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 23, 228755), 16.0, 50.0]"
5,"[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 24, 373250), 16.0, 50.0]"
6,"[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 25, 522840), 16.0, 50.0]"
7,"[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 26, 658798), 16.0, 50.0]"
8,"[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 27, 805623), 16.0, 50.0]"
9,"[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 15.0, 32.0]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 7.5, 15.5]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 7.5, 16.5]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 3.9, 6.6]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 6.5, 14.0]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 4.2, 7.8]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 3.8, 5.2]","[datetime.datetime(2022, 11, 28, 20, 1, 28, 939576), 16.0, 50.0]"
