,Epic Rooster,Off Grid,Diamond Georgio,Daves Deal,Homebush Rocket,Laredo Jewel,Nighthawk Swift,Sour Lemon
15-12-2022 14:06:07.877542,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:09.276510,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:10.685346,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:11.980631,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:13.314975,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:14.656223,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:16.292201,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:17.748122,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:19.224071,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:20.705795,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:22.182561,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
15-12-2022 14:06:23.663899,"(2.2, 4.2, 3.2626086956521743)","(3.9, 5.6, 4.461538461538462)","(5.0, 9.0, 6.714285714285714)","(5.5, 9.2, 8.527999999999999)","(16.0, 95.0, 84.875)","(13.0, 29.0, 26.6875)","(31.0, 320.0, 164.79999999999998)","(16.0, 190.0, 76.85714285714286)"
