,Repeal,Thats Better,Bottom Bar,Iron Hat,Single Touch,Anchors Point,Ghost Hunter,Miss Mazerati,Chill Out Miss,Allusive Eve
09-01-2023 13:07:01.931273,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:03.243627,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:04.621052,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:05.874838,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:07.260445,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:08.528712,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:09.884059,"(18.0, 65.0, 54.33333333333333)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:11.234118,"(18.0, 65.0, 56.36363636363637)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:12.639486,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:14.098343,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:15.481492,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:16.891558,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:18.206642,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:19.437187,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:20.712407,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
09-01-2023 13:07:22.076801,"(18.0, 65.0, 57.69230769230769)","(7.5, 13.0, 12.236363636363636)","(20.0, 70.0, 23.2)","(3.0, 4.3, 4.075)","(4.4, 5.0, 4.969230769230769)","(19.0, 50.0, 25.25)","(6.5, 13.0, 9.666666666666666)","(5.0, 7.0, 6.1875)","(31.0, 200.0, 118.0)","(18.0, 65.0, 38.333333333333336)"
