,Baggys Gold,Zambrana,Bigsy,Romarosa,Dundee Velvet,Jet Like Rico,Little Nellie,Lakeview Raymond
05-01-2023 17:09:26.648137,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.35)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 3.15, 2.6775)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:27.930445,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.35)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 3.15, 2.6775)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:29.243922,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.35)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 3.15, 2.6966666666666668)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:30.502358,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.35)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 3.05, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:31.693238,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.35)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:32.828304,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 9.120000000000001)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:34.100073,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.0)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:35.223010,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.0)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:36.356834,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.0)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
05-01-2023 17:09:37.509800,"(10.0, 26.0, 12.666666666666666)","(6.5, 13.0, 9.342857142857142)","(7.0, 15.0, 8.0)","(5.0, 11.5, 9.466666666666667)","(51.0, 230.0, 198.66666666666666)","(2.5, 2.98, 2.6733333333333333)","(8.5, 19.0, 11.8)","(4.6, 7.6, 7.2124999999999995)"
