,Tiggys Em,Blackpool Blade,Rebels Spark,Son Of Cecil,Morning Lily,Nineteen Crimes,Inga Sally,Chloes Comet
12-01-2023 16:40:38.409385,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:39.512986,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:40.810192,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:42.035742,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:43.203842,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:44.422255,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:45.605328,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:46.932967,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:48.044990,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:49.281073,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:50.566172,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:51.670016,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:52.706951,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:53.826832,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:55.007004,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:56.068297,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:57.156720,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:58.240180,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:40:59.261158,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:00.406032,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:01.397559,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:02.497023,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:03.936330,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:05.186461,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:06.330008,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:07.487650,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:08.574639,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:09.581822,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:10.928199,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:12.261575,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:13.559614,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:14.680484,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:15.892805,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
12-01-2023 16:41:17.149607,"(21.0, 85.0, 52.25)","(4.0, 6.4, 5.453571428571429)","(5.0, 7.6, 5.3500000000000005)","(7.5, 14.0, 13.314285714285713)","(5.0, 7.6, 7.02)","(5.0, 8.2, 7.616666666666665)","(11.0, 24.0, 22.923076923076923)","(5.0, 7.6, 5.266666666666667)"
