,Jayville Glory,Irenes A Star,She Has Zip,All Inn Ryder,Funky Felix,Dimes Ambition,Forcefully,La La Nebraska
15-12-2022 11:38:21.769877,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:23.015963,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:24.166004,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:25.259849,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:26.342418,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:27.495120,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:28.701486,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:29.882574,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:31.091245,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:32.279072,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:33.431233,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:34.569382,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:35.707570,"(5.5, 11.5, 9.905714285714286)","(3.4, 5.5, 4.431818181818182)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:36.851310,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:37.997714,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:39.122647,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:40.219167,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:41.344943,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:42.484246,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:43.691950,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
15-12-2022 11:38:44.970009,"(5.5, 11.5, 7.642857142857142)","(3.4, 5.5, 3.7)","(7.0, 15.5, 10.146153846153846)","(6.5, 12.0, 11.236363636363636)","(10.0, 27.0, 14.636363636363637)","(7.0, 15.5, 13.275)","(4.8, 7.0, 6.605263157894736)","(9.0, 17.0, 13.72)"
