,Little Auckland,Hurricane Dream,Shesherz,Feelin Flirty,Akermanis,Lookat Mee,Studleigh Patricia,Delta Three Nz,Village Smirker,Beau Hart
16-12-2022 12:53:40.013175,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.3)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:41.320859,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:42.657654,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:43.934266,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:45.207210,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:46.424131,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:47.703418,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:49.001755,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:50.337543,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
16-12-2022 12:53:51.647045,"(71.0, 270.0, 233.0)","(4.0, 5.5, 4.9)","(26.0, 60.0, 32.25)","(21.0, 50.0, 39.5)","(20.0, 38.0, 30.5)","(3.6, 6.4, 5.757142857142857)","(20.0, 44.0, 29.6)","(1.8, 99999, 99990)","(41.0, 160.0, 112.0)","(101.0, 260.0, 214.28571428571428)"
