,Foxpath,Lika Swift,Acrion,Atlantic Ridge,Ricco Doro,Gone Ahead,Kiloran Bay,Bella Cinque,Fine Rebel,Invest And Profit,Move On Over,Martha Lavinia
07-01-2023 12:52:24.475304,"(6.0, 8.6, 8.16)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.571428571428571)","(14.0, 17.5, 17.323529411764707)","(41.0, 70.0, 65.38461538461539)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 20.0, 19.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:26.153032,"(6.0, 8.6, 8.16)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.421052631578947)","(14.0, 17.5, 17.323529411764707)","(41.0, 70.0, 65.38461538461539)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 20.0, 19.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:27.569601,"(6.0, 8.6, 8.16)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.421052631578947)","(14.0, 17.5, 17.323529411764707)","(41.0, 70.0, 65.38461538461539)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 20.0, 19.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:29.292192,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.421052631578947)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 20.0, 21.357142857142858)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:30.803657,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.421052631578947)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 22.0, 21.357142857142858)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:32.373515,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.421052631578947)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 22.0, 19.6)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:34.037604,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.421052631578947)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 50.0, 43.0)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 22.0, 20.0)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:35.695258,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 48.0, 44.0)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.453846153846154)","(14.0, 22.0, 20.0)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.838709677419355)"
07-01-2023 12:52:37.389411,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 50.0, 44.0)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 22.0, 20.0)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.838709677419355)"
07-01-2023 12:52:39.050507,"(6.0, 8.6, 8.021052631578947)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701004016064257)","(6.0, 8.0, 7.388888888888889)","(14.0, 17.5, 17.36046511627907)","(41.0, 70.0, 66.25)","(21.0, 50.0, 43.0)","(11.0, 15.0, 14.25)","(8.0, 11.5, 10.366666666666667)","(14.0, 22.0, 20.0)","(51.0, 85.0, 75.0)","(4.8, 5.9, 5.830303030303031)"
