,Sweet Enough,Alpha Princess,Durham,Coonamble Kid,Adulate,Fancy A Scotch,Crystal Chaos,Wheres The Bar
11-01-2023 15:25:14.287840,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:15.639295,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:17.054114,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:18.398089,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:19.723352,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:21.050262,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:22.385190,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:23.751187,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:25.082009,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
11-01-2023 15:25:26.430865,"(41.0, 460.0, 316.6666666666667)","(10.0, 21.0, 20.2375)","(61.0, 550.0, 298.0)","(4.4, 10.5, 6.84)","(3.0, 4.4, 3.8814814814814818)","(4.6, 7.6, 5.171428571428572)","(91.0, 730.0, 561.25)","(2.6, 4.3, 2.7625)"
