,Yuko Blaq,Little Gomez,Just Like Nu,Queen Of Samson,Leaping Lucille,Getaway Gherkin,Knick Knack Mac,Chidobe
0,"[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 954118), 51.0, 440.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 116082), 51.0, 440.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 15, 281156), 51.0, 440.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 428759), 51.0, 440.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 575407), 51.0, 440.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 740251), 51.0, 440.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 910218), 51.0, 440.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 82075), 51.0, 440.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 22, 273329), 51.0, 440.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 2.9, 4.1]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 8.0, 16.5]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 10.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 8.0, 20.0]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 3.7, 6.2]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 18, 55, 23, 441754), 51.0, 440.0]"
