,Wispy Bale,Flash The Hand,Hawk Girl,Redbank Molly,Post The Zipper,Brockies Way,Lucky Ethics,Magical Touch
10-01-2023 20:57:36.031225,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:37.362574,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:38.660456,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:39.854804,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:41.013768,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:42.103305,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:43.394222,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:44.540313,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:45.673621,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:46.789320,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:47.847567,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:49.156558,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:50.366634,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:51.719391,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:52.910170,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.385714285714286)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:54.000345,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:55.117259,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:56.191702,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:57.285479,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:58.448870,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:57:59.740030,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:00.981774,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:02.300813,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:03.439483,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:04.507615,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:05.756380,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:07.028108,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:08.348043,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:09.581007,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:10.694442,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
10-01-2023 20:58:12.038607,"(9.0, 18.5, 17.3375)","(3.6, 8.8, 7.4)","(10.0, 19.5, 19.32075471698113)","(6.5, 10.5, 10.408235294117647)","(5.0, 7.8, 7.471532846715329)","(2.4, 3.45, 2.83)","(31.0, 130.0, 77.0)","(61.0, 520.0, 477.09090909090907)"
