,Blue Yap,Mcentire,Untroubled,Touch Of Speed,Blue Stingray,Irinka Anna,Just Dream,Lady On Fire
09-01-2023 14:32:56.119626,"(5.0, 10.0, 9.283333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:32:57.295401,"(5.0, 10.0, 9.283333333333333)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:32:58.571707,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:32:59.764001,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:00.905653,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:02.058513,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:03.192214,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:04.326609,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:05.490196,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
09-01-2023 14:33:06.663832,"(5.0, 10.0, 8.6)","(3.4, 4.7, 3.757142857142857)","(6.0, 9.2, 8.533333333333333)","(3.8, 6.6, 5.819999999999999)","(31.0, 120.0, 65.0)","(4.6, 7.0, 6.266666666666667)","(7.5, 15.5, 9.414285714285715)","(71.0, 490.0, 282.5)"
