,Cortes,Darksaber,Kokonotsu,Lonfire,Ponte Vecchio,Rackermann,The Woke Waiter,Thornycroft,Dreamtime Girl,Field The Moment,Shuffle Dancer
14-12-2022 14:26:07.524230,"(11.0, 14.5, 14.347826086956522)","(31.0, 60.0, 52.888888888888886)","(41.0, 110.0, 65.13157894736842)","(11.0, 14.5, 14.32)","(31.0, 85.0, 59.1)","(1.95, 2.24, 2.228125)","(11.0, 15.0, 14.875)","(12.0, 17.0, 15.921052631578947)","(26.0, 32.0, 31.454545454545453)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.897727272727273)"
14-12-2022 14:26:09.194578,"(11.0, 14.5, 14.347826086956522)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.336363636363636)","(31.0, 85.0, 72.0)","(1.95, 2.26, 2.228125)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.897727272727273)"
14-12-2022 14:26:11.055721,"(11.0, 14.5, 14.347826086956522)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.401960784313726)","(31.0, 80.0, 72.0)","(1.95, 2.26, 2.2300000000000004)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.804347826086957)"
14-12-2022 14:26:12.733686,"(11.0, 14.5, 14.347826086956522)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.401960784313726)","(31.0, 80.0, 72.0)","(1.95, 2.24, 2.2300000000000004)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.804347826086957)"
14-12-2022 14:26:14.385227,"(11.0, 14.5, 14.362745098039216)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.401960784313726)","(31.0, 80.0, 72.0)","(1.95, 2.24, 2.2300000000000004)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.804347826086957)"
14-12-2022 14:26:16.083971,"(11.0, 14.5, 14.362745098039216)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.401960784313726)","(31.0, 80.0, 72.0)","(1.95, 2.24, 2.2300000000000004)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.78048780487805)"
14-12-2022 14:26:17.874961,"(11.0, 14.5, 14.362745098039216)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.401960784313726)","(31.0, 80.0, 72.0)","(1.95, 2.24, 2.2300000000000004)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.976470588235294)","(10.0, 13.0, 12.744186046511627)"
14-12-2022 14:26:19.693791,"(11.0, 14.5, 14.362745098039216)","(31.0, 60.0, 52.0)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.336363636363636)","(31.0, 80.0, 72.0)","(1.95, 2.24, 2.2300000000000004)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.625)","(7.0, 9.0, 8.99090909090909)","(10.0, 13.0, 12.744186046511627)"
14-12-2022 14:26:21.496098,"(11.0, 15.0, 14.681818181818182)","(31.0, 60.0, 53.84615384615385)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.393617021276595)","(31.0, 80.0, 64.2)","(1.95, 2.24, 2.1983146067415733)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.714285714285714)","(26.0, 32.0, 31.454545454545453)","(7.0, 9.0, 9.166666666666666)","(10.0, 13.0, 12.76923076923077)"
14-12-2022 14:26:23.889517,"(11.0, 15.0, 14.789473684210526)","(31.0, 60.0, 53.84615384615385)","(41.0, 70.0, 65.13157894736842)","(11.0, 14.5, 14.401960784313726)","(31.0, 75.0, 55.333333333333336)","(1.95, 2.2, 2.1980392156862747)","(11.0, 15.0, 14.875)","(12.0, 16.5, 15.847826086956522)","(26.0, 32.0, 31.6)","(7.0, 9.2, 9.173333333333332)","(10.0, 13.0, 12.744186046511627)"
