,Starofremembrance,Kermadec,Castor Troy,Eye See Double,Streetside Classic,Loyola Trios,Whey Better,Debt Till We Part,Blacklist,Jackson Neptune
08-01-2023 18:07:33.759124,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:34.985851,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:36.225381,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:37.510647,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:38.903029,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:40.282246,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:41.539538,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:42.762590,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:43.991250,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:45.242736,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:46.442733,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:47.689380,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:48.933986,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:50.177860,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:51.482620,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:52.719411,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:53.895040,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.695)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:55.110957,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:56.318952,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:57.582298,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:07:58.825834,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:00.113397,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:01.407420,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:02.728147,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:04.061959,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:05.231524,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:06.420276,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:07.598721,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:08.762059,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:10.031704,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:11.272740,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:12.550528,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:13.820834,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:15.028470,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:16.263417,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:17.467770,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:18.707189,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:19.961090,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:21.284646,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:22.541946,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:23.859116,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
08-01-2023 18:08:25.196309,"(71.0, 190.0, 152.85714285714286)","(4.8, 7.4, 6.04)","(10.0, 16.5, 13.66)","(8.5, 15.0, 12.36)","(5.5, 9.4, 8.314285714285713)","(26.0, 50.0, 37.5)","(4.2, 5.8, 5.748749999999999)","(5.5, 9.2, 8.057142857142857)","(20.0, 38.0, 29.0)","(5.5, 8.6, 7.625)"
