,Bushmans Prayer,Ishmy Ruby,Short Deuce,My Dad Baz,Tame The Beast,American Star,Nullify
12-01-2023 10:35:23.192069,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:24.154722,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:25.187972,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:26.227328,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:27.251255,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:28.158804,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:29.118093,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:30.066457,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:31.039137,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:31.962208,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:32.900064,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:33.937692,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:34.955901,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 32.0, 28.333333333333332)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:35.955893,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:36.942174,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:37.876366,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:38.870227,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:39.870190,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:40.944164,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:41.896359,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:42.777927,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:43.782110,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:44.737238,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:45.727036,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
12-01-2023 10:35:46.702674,"(3.3, 4.7, 3.83)","(19.0, 46.0, 31.75)","(9.0, 16.5, 14.3)","(6.0, 15.5, 11.60625)","(3.3, 5.5, 4.052941176470588)","(10.0, 30.0, 26.666666666666668)","(3.7, 5.7, 3.965217391304348)"
