,Just Admit It,Vinny Can Gogh,Jax,Rogue Temptation,Mt View Buck,Poppy To Burn,Orson Franky,Laras Love
10,"[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 31, 670957), 11.0, 22.0]"
11,"[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 32, 813369), 11.0, 22.0]"
12,"[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 33, 941867), 11.0, 22.0]"
13,"[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 35, 77357), 11.0, 22.0]"
14,"[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 36, 204341), 11.0, 22.0]"
15,"[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 37, 331903), 11.0, 22.0]"
16,"[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 11.0, 32.0]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 38, 468226), 11.0, 22.0]"
17,"[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 39, 606340), 11.0, 22.0]"
18,"[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 40, 737633), 11.0, 22.0]"
19,"[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 3.4, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 3.1, 4.0]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 5.0, 11.0]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 11.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 41.0, 290.0]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 5.0, 7.4]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 15, 4, 41, 860087), 11.0, 22.0]"
