,Poor Wally,Betty Boop,Princess Lilly,Gin And Vodka,Deputy Mayor
11-01-2023 18:55:50.290461,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:51.245954,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:52.186881,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:53.214696,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:54.217940,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:55.317004,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:56.380909,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:57.546684,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:58.483598,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:55:59.421411,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:00.372234,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:01.389295,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:02.371069,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:03.268844,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:04.253880,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:05.259617,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:06.197297,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:07.159547,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:08.113298,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:09.082619,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:10.076832,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:11.088738,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:12.052561,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:12.991756,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:13.990230,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:15.002305,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:15.931973,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:16.818631,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:17.859017,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:18.846850,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:19.871996,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:20.713890,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:21.677926,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:22.655857,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:23.626384,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:24.502763,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:25.529407,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:26.484841,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:27.379772,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:28.382171,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:29.443272,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:30.393705,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:31.421650,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:32.464040,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:33.580305,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:34.473110,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:35.705387,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:36.746886,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:37.596510,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:38.631976,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:39.645750,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
11-01-2023 18:56:40.588512,"(1.28, 1.6, 1.5380952380952382)","(21.0, 80.0, 43.125)","(51.0, 70.0, 42.8)","(3.5, 5.6, 4.637499999999999)","(10.0, 20.0, 17.92)"
