,Count On Me,Direct Affect,Jessandi,Mikasa,Myeyesadoreyou,Penfold Park,Calm Down,Dark Lever
15-12-2022 13:09:17.839859,"(6.0, 7.6, 7.49090909090909)","(4.4, 5.7, 5.671428571428572)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.384615384615385)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 4.6, 5.057522123893806)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:19.216481,"(6.0, 7.6, 7.49090909090909)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.376)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.2, 5.038461538461538)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:20.640739,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.2, 5.038461538461538)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:22.164854,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.2, 5.056701030927835)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:23.612046,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.056701030927835)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:24.989791,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.11764705882353)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:26.403389,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.2, 5.11764705882353)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:27.746961,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.2, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:29.141250,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:30.499663,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:31.775846,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.379310344827586)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:33.182245,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 23.0, 22.285714285714285)","(3.7, 4.4, 4.342857142857143)","(5.0, 9.4, 8.4)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:34.578818,"(6.0, 7.6, 7.495652173913043)","(4.4, 5.7, 5.54)","(14.0, 24.0, 22.0)","(3.7, 4.4, 4.342857142857143)","(5.0, 9.4, 7.9)","(20.0, 40.0, 33.0)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
15-12-2022 13:09:35.955060,"(6.0, 7.6, 7.535384615384615)","(4.4, 5.7, 5.5)","(14.0, 20.0, 19.625)","(3.7, 4.4, 4.342857142857143)","(5.0, 8.4, 7.9)","(20.0, 40.0, 34.09090909090909)","(3.8, 5.1, 5.051020408163265)","(41.0, 280.0, 115.0)"
