,Miss Indi,Up The Score,Skylas Elite,Upper West Side,Locked Up,Our Girl Lola,Unacceptable Max,Framalda
09-01-2023 13:34:03.801089,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 16.068181818181817)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:05.137230,"(6.0, 11.0, 10.376923076923077)","(8.0, 15.0, 12.8)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 16.068181818181817)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:06.388998,"(6.0, 11.0, 10.376923076923077)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:07.548540,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:08.622995,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:10.040859,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:11.265436,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:12.554943,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:13.853167,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
09-01-2023 13:34:15.301076,"(6.0, 11.0, 10.318181818181818)","(8.0, 15.0, 12.899999999999999)","(31.0, 220.0, 97.85714285714286)","(2.1, 2.7, 2.2833333333333337)","(26.0, 130.0, 78.5)","(8.5, 18.5, 15.894736842105264)","(6.5, 15.5, 13.399999999999999)","(4.6, 7.8, 5.3)"
