,Tiggerlong Rebel,Excess Power,Easy Breezy,Rocket Power,Silky Rose,Tat Panda,Island Chief
15-12-2022 12:09:13.577649,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:14.603398,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:15.612004,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:16.619470,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:17.614360,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:18.615841,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:19.744424,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:20.790967,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:21.803527,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
15-12-2022 12:09:22.852640,"(3.7, 6.2, 4.014285714285714)","(1.85, 2.72, 1.905263157894737)","(13.0, 29.0, 16.636363636363637)","(61.0, 560.0, 295.2941176470588)","(61.0, 560.0, 295.2941176470588)","(7.0, 14.0, 12.444444444444445)","(4.2, 8.2, 7.08)"
