,Flying Foo Foo,Imperial Master,Stellar Lad,Boogie Value,Jet Age,Winlock At Large,Penshurst Lass,Demolition
10-01-2023 13:54:03.754699,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 9.83125)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 44.0, 29.599999999999998)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 50.66666666666667)"
10-01-2023 13:54:04.932270,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 9.83125)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 48.0, 28.857142857142858)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 50.66666666666667)"
10-01-2023 13:54:06.154553,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 9.83125)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 48.0, 28.857142857142858)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 126.39999999999999)"
10-01-2023 13:54:07.268599,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 9.83125)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 48.0, 28.857142857142858)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:08.454012,"(1.6, 2.16, 1.7523529411764707)","(6.0, 12.5, 9.83125)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.794)","(13.0, 48.0, 28.857142857142858)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:09.738378,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 29.42857142857143)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:10.978641,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 29.42857142857143)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:12.159091,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.7625)","(13.0, 48.0, 29.42857142857143)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:13.324190,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 8.872727272727273)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.8779999999999997)","(13.0, 48.0, 29.42857142857143)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:14.541524,"(1.6, 2.16, 1.5825)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.85)","(13.0, 48.0, 24.727272727272727)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:15.784483,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.65)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.85)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 536.0)","(26.0, 240.0, 85.0909090909091)"
10-01-2023 13:54:17.025028,"(1.6, 2.16, 1.672857142857143)","(6.0, 12.5, 8.37)","(31.0, 290.0, 130.0)","(3.4, 5.6, 3.85)","(13.0, 48.0, 30.0)","(16.0, 44.0, 28.53333333333333)","(91.0, 650.0, 555.8333333333334)","(26.0, 240.0, 85.0909090909091)"
