,California Press,Shines,Captain George,Karuta King,Sacred Delago,Sippity Sip,Ponca,War Memorial,Skye Banner,Buckin Rippa
08-12-2022 14:53:52.493830,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.433333333333334)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 276.6666666666667)","(31.0, 210.0, 182.15384615384616)","(3.6, 4.2, 3.8235294117647056)","(31.0, 95.0, 67.91666666666667)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:53:53.986151,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.433333333333334)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 95.0, 76.57894736842105)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:53:55.415746,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.433333333333334)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 95.0, 76.57894736842105)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:53:56.719271,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.433333333333334)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.8235294117647056)","(31.0, 95.0, 76.57894736842105)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:53:58.088824,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.433333333333334)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.2, 3.92)","(31.0, 95.0, 72.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:53:59.403192,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 72.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:00.979859,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 72.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:02.351713,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 72.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:03.783507,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 256.25)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 72.0)","(14.0, 24.0, 20.0)","(61.0, 370.0, 330.625)"
08-12-2022 14:54:05.153849,"(4.0, 4.8, 4.514285714285714)","(3.3, 4.4, 4.075)","(4.0, 5.9, 5.62)","(21.0, 110.0, 95.27272727272727)","(51.0, 320.0, 275.8333333333333)","(31.0, 210.0, 186.0)","(3.6, 4.1, 3.92)","(31.0, 95.0, 68.84615384615384)","(14.0, 24.0, 23.142857142857142)","(61.0, 370.0, 330.625)"
