,Go Forward Tink,Oh Suzie,Flying Bella,Udella Bale,Hasten Jet,Pablos Star,Im Indigo,Levator
05-01-2023 13:59:32.020425,"(9.0, 34.0, 27.95)","(51.0, 230.0, 154.8)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:33.277707,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.28571428571428)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:34.826049,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:36.194858,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:37.657763,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:39.007038,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:40.242607,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:41.667477,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:42.941094,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:44.284875,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:45.460642,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:46.642964,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
05-01-2023 13:59:47.857824,"(9.0, 34.0, 27.95)","(51.0, 230.0, 176.85714285714286)","(19.0, 80.0, 71.42857142857143)","(2.7, 3.65, 2.923529411764706)","(2.6, 4.1, 3.26)","(10.0, 19.5, 18.47)","(8.5, 17.0, 11.533333333333333)","(6.0, 9.8, 6.358823529411765)"
