,Dinosaurus Rex,Why Not Surf,Our Uncle Harold,Ben Detto,American Shuffle Nz,Weona Sir Vivor,Rainbow Titan,Buddy Rockx,Mittys Three Aces Nz,Modern Power
11-01-2023 17:47:11.316261,"(14.0, 30.0, 25.0)","(14.0, 23.0, 21.75)","(31.0, 44.0, 41.714285714285715)","(51.0, 95.0, 53.35714285714286)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 28.0)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7701098901098902)"
11-01-2023 17:47:12.486132,"(14.0, 30.0, 25.0)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 41.714285714285715)","(51.0, 90.0, 70.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.975)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7733333333333334)"
11-01-2023 17:47:13.747566,"(14.0, 30.0, 25.714285714285715)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 42.22222222222222)","(51.0, 85.0, 67.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.990909090909091)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7733333333333334)"
11-01-2023 17:47:14.949742,"(14.0, 30.0, 25.714285714285715)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 42.22222222222222)","(51.0, 85.0, 67.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.990909090909091)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 62.36363636363637)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7733333333333334)"
11-01-2023 17:47:16.213909,"(14.0, 30.0, 25.714285714285715)","(14.0, 23.0, 22.3125)","(31.0, 44.0, 42.22222222222222)","(51.0, 85.0, 67.8)","(16.0, 99999, 99990)","(4.8, 5.0, 4.984615384615385)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7736363636363637)"
11-01-2023 17:47:17.486638,"(15.0, 30.0, 25.714285714285715)","(14.0, 21.0, 20.5625)","(31.0, 42.0, 40.666666666666664)","(51.0, 80.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.0, 4.984615384615385)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7837096774193548)"
11-01-2023 17:47:18.749529,"(15.0, 36.0, 30.666666666666664)","(14.0, 21.0, 20.73076923076923)","(31.0, 42.0, 40.666666666666664)","(51.0, 80.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.0, 4.98)","(18.0, 34.0, 29.166666666666664)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7501234567901234)"
11-01-2023 17:47:20.018924,"(15.0, 36.0, 28.0)","(14.0, 21.0, 20.73076923076923)","(31.0, 42.0, 41.07692307692308)","(51.0, 80.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.0, 5.022222222222222)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.76, 1.7400496894409938)"
11-01-2023 17:47:21.317430,"(15.0, 34.0, 29.333333333333336)","(14.0, 21.0, 20.73076923076923)","(31.0, 42.0, 40.666666666666664)","(51.0, 80.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.1, 5.022222222222222)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.76, 1.7377333333333334)"
11-01-2023 17:47:22.583997,"(15.0, 34.0, 27.0)","(14.0, 21.0, 20.68181818181818)","(31.0, 42.0, 40.666666666666664)","(51.0, 80.0, 72.4)","(16.0, 99999, 99990)","(4.6, 5.1, 5.022222222222222)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.75, 1.783125)"
11-01-2023 17:47:23.788570,"(15.0, 34.0, 27.0)","(14.0, 21.0, 20.416666666666668)","(31.0, 42.0, 40.666666666666664)","(51.0, 80.0, 72.4)","(16.0, 99999, 99990)","(4.6, 5.1, 5.022222222222222)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.79, 1.776865671641791)"
11-01-2023 17:47:25.073027,"(15.0, 34.0, 27.0)","(14.0, 21.0, 20.416666666666668)","(31.0, 46.0, 44.666666666666664)","(51.0, 70.0, 64.4)","(16.0, 99999, 99990)","(4.6, 5.1, 5.029411764705882)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 61.8)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7749462365591397)"
11-01-2023 17:47:26.311950,"(15.0, 34.0, 26.77777777777778)","(14.0, 21.0, 20.416666666666668)","(31.0, 46.0, 44.5)","(51.0, 70.0, 64.4)","(16.0, 99999, 99990)","(4.6, 5.1, 5.029411764705882)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 62.54545454545455)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7755670103092784)"
11-01-2023 17:47:27.652571,"(15.0, 34.0, 26.77777777777778)","(14.0, 21.0, 20.416666666666668)","(31.0, 46.0, 44.5)","(51.0, 70.0, 64.4)","(16.0, 99999, 99990)","(4.6, 5.1, 5.029411764705882)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 62.54545454545455)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7746153846153847)"
11-01-2023 17:47:29.100006,"(15.0, 34.0, 26.77777777777778)","(14.0, 21.0, 20.416666666666668)","(31.0, 46.0, 44.5)","(51.0, 70.0, 64.4)","(16.0, 99999, 99990)","(4.6, 5.1, 5.15)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 50.0)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7746153846153847)"
11-01-2023 17:47:30.490963,"(15.0, 34.0, 26.77777777777778)","(14.0, 21.0, 20.416666666666668)","(31.0, 46.0, 44.5)","(51.0, 70.0, 64.4)","(16.0, 99999, 99990)","(4.6, 5.3, 5.15)","(18.0, 34.0, 29.333333333333336)","(21.0, 70.0, 50.0)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7754193548387096)"
11-01-2023 17:47:31.898539,"(15.0, 34.0, 27.5)","(14.0, 21.0, 20.416666666666668)","(31.0, 46.0, 42.666666666666664)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.3, 5.15)","(18.0, 34.0, 29.857142857142858)","(21.0, 70.0, 53.33333333333333)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7754193548387096)"
11-01-2023 17:47:33.498364,"(15.0, 34.0, 27.5)","(14.0, 21.0, 20.416666666666668)","(31.0, 44.0, 42.666666666666664)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.3, 5.263636363636364)","(18.0, 34.0, 29.857142857142858)","(21.0, 65.0, 53.33333333333333)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7749333333333333)"
11-01-2023 17:47:34.770323,"(15.0, 34.0, 27.5)","(14.0, 21.0, 20.416666666666668)","(31.0, 44.0, 42.666666666666664)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.3, 5.263636363636364)","(18.0, 34.0, 29.333333333333336)","(21.0, 65.0, 38.142857142857146)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7785263157894737)"
11-01-2023 17:47:36.171380,"(15.0, 34.0, 27.5)","(14.0, 21.0, 20.416666666666668)","(31.0, 44.0, 42.666666666666664)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.3, 5.263636363636364)","(18.0, 34.0, 29.916666666666668)","(21.0, 75.0, 63.09090909090909)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7749655172413794)"
11-01-2023 17:47:37.582734,"(15.0, 32.0, 30.166666666666664)","(14.0, 21.0, 20.428571428571427)","(31.0, 44.0, 42.666666666666664)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.3, 5.263636363636364)","(18.0, 32.0, 29.916666666666668)","(21.0, 70.0, 63.09090909090909)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7749655172413794)"
11-01-2023 17:47:38.855420,"(15.0, 32.0, 30.166666666666664)","(14.0, 17.5, 16.59090909090909)","(31.0, 44.0, 44.0)","(51.0, 70.0, 65.27272727272728)","(16.0, 99999, 99990)","(4.6, 5.3, 5.263636363636364)","(18.0, 32.0, 29.6)","(21.0, 70.0, 63.09090909090909)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7749655172413794)"
11-01-2023 17:47:40.201397,"(15.0, 32.0, 30.166666666666664)","(14.0, 17.5, 16.59090909090909)","(31.0, 46.0, 44.0)","(51.0, 70.0, 65.27272727272728)","(16.0, 99999, 99990)","(4.6, 5.3, 5.0377777777777775)","(18.0, 32.0, 29.6)","(21.0, 70.0, 46.0)","(26.0, 99999, 99990)","(1.55, 1.79, 1.7955555555555556)"
11-01-2023 17:47:41.386716,"(15.0, 32.0, 30.88888888888889)","(14.0, 17.5, 17.166666666666668)","(31.0, 46.0, 44.0)","(51.0, 70.0, 65.27272727272728)","(16.0, 99999, 99990)","(4.6, 5.1, 5.005)","(18.0, 32.0, 27.3125)","(21.0, 70.0, 44.333333333333336)","(26.0, 99999, 99990)","(1.55, 1.84, 1.7950295857988166)"
11-01-2023 17:47:42.603996,"(15.0, 32.0, 27.714285714285715)","(14.0, 23.0, 21.6)","(31.0, 46.0, 44.0)","(51.0, 70.0, 65.27272727272728)","(16.0, 99999, 99990)","(4.6, 5.1, 4.934782608695652)","(18.0, 32.0, 27.3125)","(21.0, 65.0, 47.0)","(26.0, 99999, 99990)","(1.55, 1.84, 1.8022360248447205)"
11-01-2023 17:47:43.957893,"(15.0, 32.0, 28.0)","(14.0, 22.0, 20.0)","(31.0, 46.0, 44.0)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.1, 4.934782608695652)","(18.0, 32.0, 27.3125)","(21.0, 60.0, 40.5)","(26.0, 99999, 99990)","(1.55, 1.84, 1.8022360248447205)"
11-01-2023 17:47:45.281379,"(16.0, 30.0, 29.2)","(14.0, 22.0, 20.0)","(31.0, 46.0, 44.0)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.1, 4.927586206896552)","(18.0, 32.0, 27.3125)","(21.0, 60.0, 57.2)","(26.0, 99999, 99990)","(1.55, 1.84, 1.7750704225352112)"
11-01-2023 17:47:46.499300,"(16.0, 30.0, 29.2)","(14.0, 22.0, 16.833333333333332)","(31.0, 46.0, 42.666666666666664)","(51.0, 70.0, 64.8)","(16.0, 99999, 99990)","(4.6, 5.1, 4.927586206896552)","(18.0, 32.0, 29.916666666666668)","(21.0, 60.0, 57.2)","(26.0, 99999, 99990)","(1.55, 1.78, 1.7758064516129033)"
