,Running Cloud,Sword Of War,Bellman,Maatsuyker,Royal Fox,Wagon Wheel,Duhlata,Great Ambition,Supreme Thunder,One Out,Lottacheex,Buoyant
08-01-2023 16:12:47.105687,"(7.0, 9.2, 8.671999999999999)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 23.0, 22.627118644067796)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.7, 3.588888888888889)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:48.741771,"(7.0, 9.2, 8.671999999999999)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.627118644067796)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.7, 3.588888888888889)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:50.319796,"(7.0, 9.2, 8.949367088607595)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.7, 3.588888888888889)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:51.888375,"(7.0, 9.0, 8.949367088607595)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.7, 3.5965517241379312)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:53.482066,"(7.0, 8.8, 8.7475)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.7, 3.5965517241379312)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:55.078566,"(7.0, 8.8, 8.7475)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.7, 3.55)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.21428571428572)"
08-01-2023 16:12:56.726574,"(7.0, 8.8, 8.752272727272729)","(11.0, 99999, 99990)","(5.5, 8.8, 8.114285714285714)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 106.66666666666667)","(3.2, 3.65, 3.55)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:58.378349,"(7.0, 8.8, 8.752272727272729)","(11.0, 99999, 99990)","(5.5, 8.8, 7.8769230769230765)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 99.0909090909091)","(3.2, 3.65, 3.54375)","(20.0, 32.0, 30.5)","(7.5, 8.8, 8.787500000000001)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:12:59.927145,"(7.0, 8.8, 8.731147540983606)","(11.0, 99999, 99990)","(5.5, 8.8, 7.857142857142857)","(7.5, 9.0, 8.952808988764046)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.57377049180328)","(14.0, 18.5, 17.75)","(51.0, 110.0, 99.0909090909091)","(3.2, 3.65, 3.5083333333333333)","(20.0, 32.0, 30.5)","(7.5, 8.8, 9.116666666666667)","(41.0, 75.0, 73.07692307692308)"
08-01-2023 16:13:01.643192,"(7.0, 8.8, 8.731147540983606)","(11.0, 99999, 99990)","(5.5, 8.0, 7.914285714285715)","(7.5, 9.0, 8.954545454545455)","(15.0, 19.5, 18.75)","(17.0, 24.0, 22.736842105263158)","(14.0, 18.5, 17.75)","(51.0, 110.0, 99.0909090909091)","(3.2, 3.65, 3.5285714285714285)","(20.0, 32.0, 30.8)","(7.5, 9.2, 9.666666666666668)","(41.0, 75.0, 73.07692307692308)"
