,Cronin,Rocknroll Tony,Uncle Gregory,Straytothepoolroom,Dont Tell Dorothy,Tulhurst Blaster,Yellow Bow,Power To Bolt,Baberock
15-12-2022 11:47:10.936285,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 29.666666666666664)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:12.120318,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 29.666666666666664)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:13.396363,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 29.666666666666664)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:14.813155,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 29.666666666666664)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:16.194473,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 29.666666666666664)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:17.438752,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:18.634574,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:19.707128,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:20.861117,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:22.030716,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:23.309745,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:24.526400,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:25.835239,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
15-12-2022 11:47:27.142406,"(4.4, 7.2, 5.2)","(1.75, 2.3, 1.7952380952380953)","(41.0, 130.0, 77.63636363636363)","(26.0, 75.0, 54.2)","(7.0, 12.5, 9.233333333333333)","(8.5, 26.0, 18.88)","(10.0, 20.0, 17.644444444444446)","(16.0, 48.0, 28.2)","(31.0, 140.0, 101.42857142857143)"
