,Prince Capri,Always Lurking,Fix You,Macey Keeping,Too Much Fun,Charos Max,Oh So Lavish
11-01-2023 20:53:34.063412,"(4.4, 6.2, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.566666666666666)","(10.0, 16.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:35.109325,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.566666666666666)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:36.147194,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.566666666666666)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:37.188967,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.566666666666666)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:38.312702,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.566666666666666)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:39.386107,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.566666666666666)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:40.451975,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.630769230769232)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:41.344282,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0416666666666665)","(8.5, 11.5, 9.630769230769232)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:42.471553,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.3333333333333335)","(8.5, 11.5, 9.630769230769232)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
11-01-2023 20:53:43.533216,"(4.4, 6.0, 4.6875)","(5.0, 8.0, 7.066666666666666)","(3.4, 6.8, 5.816216216216216)","(3.0, 4.0, 3.0791666666666666)","(8.5, 11.5, 9.630769230769232)","(10.0, 17.5, 14.125)","(19.0, 55.0, 27.25)"
