,Bywonner,Rebel Cadeau,Spirit Above,Wonga Flyer,Apricus,Looking Suave,Graffias,Go Now
04-01-2023 13:23:52.688327,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 35.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:23:54.091784,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 35.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:23:55.450595,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 35.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:23:56.775590,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 35.0)","(4.4, 5.6, 5.1)"
04-01-2023 13:23:58.125873,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 42.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:23:59.446555,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:00.660613,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:01.889054,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.8923076923076922)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:03.185447,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
04-01-2023 13:24:04.461876,"(31.0, 55.0, 47.0)","(19.0, 29.0, 27.363636363636363)","(2.5, 3.3, 3.172727272727273)","(3.4, 4.4, 3.884375)","(4.6, 7.8, 6.654545454545455)","(51.0, 120.0, 95.0)","(21.0, 48.0, 41.333333333333336)","(4.4, 5.6, 5.1)"
