,Aston Marley,Fired Up,Thunder Dash,Scott Hue,Aston Prince,Ripplebrook Snip
07-12-2022 14:00:59.884681,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:01.171739,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:02.183567,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.066666666666666)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:03.208497,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.066666666666666)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:04.316491,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 6.0)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:05.482464,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.133333333333334)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:06.596868,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:07.641814,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:08.617537,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:09.624674,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:10.677149,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:11.768363,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:12.891417,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:13.835011,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:14.922706,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:15.928475,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:17.045145,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:18.150364,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:19.199582,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:20.188447,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:21.133503,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:22.163779,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.3999999999999995)","(12.0, 23.0, 20.375)"
