,Ripstone Snorter,Mista Moose,Nifty Ronald,Parallel,Operative Anna,Little Cessna,Louisiana Freedom,Bettor Be Lucky,Rum Delight Nz,Change Of Mind
10-01-2023 14:07:53.696811,"(7.0, 10.0, 9.4)","(21.0, 44.0, 33.6)","(31.0, 50.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.1, 4.675)","(21.0, 38.0, 24.75)","(9.0, 10.5, 10.275)","(71.0, 110.0, 94.28571428571428)","(9.0, 99999, 99990)","(41.0, 120.0, 93.33333333333334)"
10-01-2023 14:07:55.194191,"(7.0, 10.0, 9.4)","(21.0, 40.0, 32.0)","(31.0, 46.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.0, 4.728571428571429)","(21.0, 30.0, 26.75)","(9.0, 10.5, 10.275)","(71.0, 110.0, 94.28571428571428)","(9.0, 99999, 99990)","(41.0, 120.0, 93.33333333333334)"
10-01-2023 14:07:56.574950,"(7.0, 10.0, 9.4)","(21.0, 40.0, 32.5)","(31.0, 46.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.9, 4.572727272727272)","(21.0, 34.0, 26.75)","(9.0, 10.5, 10.05)","(71.0, 110.0, 94.28571428571428)","(9.0, 99999, 99990)","(41.0, 120.0, 93.33333333333334)"
10-01-2023 14:07:57.976859,"(7.0, 10.0, 9.4)","(21.0, 40.0, 33.0)","(31.0, 46.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.3, 4.814285714285714)","(21.0, 34.0, 26.75)","(9.0, 10.5, 10.05)","(71.0, 110.0, 94.28571428571428)","(9.0, 99999, 99990)","(41.0, 120.0, 93.33333333333334)"
10-01-2023 14:07:59.410882,"(7.0, 10.0, 9.4)","(21.0, 40.0, 33.0)","(31.0, 46.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.0, 4.409090909090909)","(21.0, 34.0, 26.75)","(9.0, 10.5, 10.05)","(71.0, 110.0, 94.28571428571428)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:00.860530,"(7.0, 10.0, 9.4)","(21.0, 40.0, 33.0)","(31.0, 46.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.0, 4.6000000000000005)","(21.0, 34.0, 26.75)","(9.0, 10.5, 10.05)","(71.0, 110.0, 94.28571428571428)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:02.254204,"(7.0, 9.8, 9.338461538461539)","(21.0, 40.0, 33.0)","(31.0, 46.0, 35.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 4.9, 5.1571428571428575)","(21.0, 34.0, 26.75)","(9.0, 10.5, 9.75)","(71.0, 110.0, 87.14285714285714)","(9.0, 99999, 99990)","(41.0, 120.0, 92.66666666666666)"
10-01-2023 14:08:03.654590,"(7.0, 9.8, 9.425)","(21.0, 40.0, 33.0)","(31.0, 46.0, 43.333333333333336)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.4, 4.2625)","(21.0, 34.0, 28.75)","(9.0, 10.5, 9.719999999999999)","(71.0, 100.0, 87.14285714285714)","(9.0, 99999, 99990)","(41.0, 120.0, 119.33333333333333)"
10-01-2023 14:08:05.040830,"(7.0, 9.8, 9.338461538461539)","(21.0, 38.0, 31.0)","(31.0, 70.0, 41.666666666666664)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.2, 4.814285714285714)","(21.0, 38.0, 27.75)","(9.0, 10.5, 9.8)","(71.0, 100.0, 84.16666666666666)","(9.0, 99999, 99990)","(41.0, 160.0, 112.66666666666667)"
10-01-2023 14:08:06.409266,"(7.0, 9.8, 9.338461538461539)","(21.0, 36.0, 31.0)","(31.0, 65.0, 41.666666666666664)","(2.1, 2.94, 2.7666666666666666)","(3.5, 5.0, 4.6000000000000005)","(21.0, 36.0, 27.75)","(9.0, 10.0, 9.672727272727272)","(71.0, 90.0, 83.57142857142857)","(9.0, 99999, 99990)","(41.0, 150.0, 135.6)"
