,Simon Rose,Uforo Bale,Coalville Flyer,Why Not Ajay,Green Can Lad,Minter Dominate,Brocky Sands,Downtown Zion
11-01-2023 20:34:23.149340,"(3.8, 6.2, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.1)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.375)"
11-01-2023 20:34:24.162054,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.1)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:25.276449,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:26.468227,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:27.585931,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:28.755571,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:29.982851,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:31.212484,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:32.364367,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:33.547536,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:34.775368,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:35.987647,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:37.160927,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:38.321186,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 12.657142857142857)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 50.25)"
11-01-2023 20:34:39.478566,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.0, 11.666666666666666)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:40.634413,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:41.873507,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:43.058357,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:44.164238,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:45.279894,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:46.239984,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:47.288736,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 21.92)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.5)"
11-01-2023 20:34:48.366613,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:49.553629,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:50.822148,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:52.088407,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:53.262197,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:54.481812,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:55.659307,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:56.770603,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:57.954455,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 45.625)"
11-01-2023 20:34:59.077040,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:00.221224,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:01.291806,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:02.421081,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:03.576096,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:04.681325,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:05.840653,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:07.047683,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.82857142857143)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:08.309366,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:09.492870,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:10.724828,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
11-01-2023 20:35:11.916719,"(3.8, 6.0, 4.214)","(15.0, 34.0, 29.375)","(8.0, 16.5, 11.777777777777779)","(8.0, 25.0, 22.849999999999998)","(10.0, 16.5, 11.88888888888889)","(3.0, 4.4, 3.1142857142857143)","(4.4, 6.6, 5.22)","(13.0, 55.0, 47.75)"
