,Arentee,Lucky Exchange,I Am Lethal,Ready For Anything,Mobstar,Prime Asset,Spiritualised,Pentito,Charlies Case,Resonator,Wealthy Investor,Daytona,West Of Africa,Oakfield Triumph,Data Patch
07-01-2023 16:10:23.854289,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.563934426229508)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 41.23076923076923)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 7.010526315789473)","(71.0, 100.0, 93.75)","(51.0, 110.0, 96.76470588235294)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.7012987012987)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:25.727667,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.563934426229508)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 41.23076923076923)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 7.010526315789473)","(71.0, 100.0, 93.75)","(51.0, 110.0, 96.76470588235294)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:27.668685,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.563934426229508)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 41.23076923076923)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 7.010526315789473)","(71.0, 100.0, 93.75)","(51.0, 110.0, 96.76470588235294)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:29.766978,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.563934426229508)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 41.23076923076923)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 7.010526315789473)","(71.0, 100.0, 93.75)","(51.0, 110.0, 89.0)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:31.797926,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.594285714285714)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 41.23076923076923)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:33.745905,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.594285714285714)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.2)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:35.523361,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.594285714285714)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.2)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:37.185809,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.594285714285714)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.2)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:39.060899,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.594285714285714)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.2)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9691666666666667)","(51.0, 85.0, 66.72413793103448)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:40.966652,"(6.0, 6.4, 6.212987012987013)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.563934426229508)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.61538461538461)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9753968253968255)","(51.0, 85.0, 67.62295081967213)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
07-01-2023 16:10:42.762703,"(6.0, 6.4, 6.187323943661972)","(31.0, 80.0, 72.5)","(7.5, 8.8, 8.563934426229508)","(81.0, 180.0, 148.1818181818182)","(21.0, 44.0, 42.61538461538461)","(51.0, 95.0, 92.14285714285714)","(5.5, 7.2, 6.986915887850468)","(71.0, 100.0, 93.75)","(51.0, 110.0, 81.36363636363636)","(3.5, 4.1, 3.9753968253968255)","(51.0, 85.0, 67.62295081967213)","(8.0, 11.0, 10.75)","(6.0, 7.8, 7.519402985074627)","(71.0, 100.0, 82.5)","(71.0, 120.0, 97.77777777777777)"
