,Miracle Of Love,Angel Bail,Midnight Sophie,Dana Big Pete,Red Fire Bay,Ski Slope
09-01-2023 18:58:00.986536,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:01.830385,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:02.715106,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:03.676469,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:04.601616,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:05.577219,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:06.473626,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:07.293354,"(14.0, 32.0, 30.0)","(1.75, 2.0, 1.905)","(26.0, 120.0, 67.77777777777777)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 15.86111111111111)"
09-01-2023 18:58:08.169381,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:09.095616,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 20.083333333333332)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:10.003149,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:10.941936,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:11.830613,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:12.655940,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:13.517601,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:14.408071,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:15.356539,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:16.309275,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:17.185972,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:18.071595,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:18.905802,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:19.748120,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:20.673790,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:21.558326,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:22.496432,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:23.372682,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:24.217181,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:25.157047,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:26.039085,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:26.908508,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:27.805019,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:28.665987,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
09-01-2023 18:58:29.552413,"(14.0, 32.0, 28.5)","(1.75, 2.0, 1.905)","(26.0, 120.0, 69.86666666666667)","(10.0, 21.0, 18.9)","(2.6, 4.5, 2.85)","(10.0, 18.5, 13.333333333333332)"
