,Wishing Well,Indy Korie,Chinchilla Mist,Blackpool Dill,Edi Bale,Responder,Kyanna,Whiskey Diva
06-01-2023 14:44:12.252317,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.358823529411764)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:13.433027,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:14.613467,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:15.694539,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:16.765929,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:17.971460,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.928571428571429)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:19.207896,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.928571428571429)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:20.350131,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.928571428571429)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:21.433067,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 10.5)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.410810810810811)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:22.621037,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 66.42857142857143)","(5.5, 13.0, 11.9)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.5, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:23.779979,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.9)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:24.992229,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 12.23)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:26.212723,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:27.408991,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:28.575265,"(5.0, 8.6, 6.7142857142857135)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.5)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:29.626777,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.066666666666666)"
06-01-2023 14:44:30.735405,"(5.0, 8.6, 7.327272727272726)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.496774193548386)"
06-01-2023 14:44:31.936972,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.157142857142857)"
06-01-2023 14:44:33.058638,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.157142857142857)"
06-01-2023 14:44:34.182879,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.6819444444444445)","(6.0, 8.6, 8.29)"
06-01-2023 14:44:35.352979,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 55.2)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 44.44444444444444)","(3.9, 7.0, 6.483333333333333)","(3.2, 4.8, 4.968571428571428)","(6.0, 8.6, 8.29)"
06-01-2023 14:44:36.596811,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 8.29)"
06-01-2023 14:44:37.854541,"(5.0, 8.6, 7.088888888888889)","(31.0, 160.0, 75.23529411764706)","(5.5, 13.0, 11.733333333333334)","(7.0, 10.0, 9.8)","(19.0, 75.0, 45.666666666666664)","(3.9, 7.0, 6.483333333333333)","(3.2, 5.1, 4.968571428571428)","(6.0, 8.6, 7.875)"
