,Earstagrin,Tiger Tommy Nz,Kalypso Sam,Preachers Daughter,Tiza New Day,Ellen Shannon,Karinya Max,Zu Hoffen
06-01-2023 17:27:34.501023,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 40.0, 34.6)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.2, 7.52)","(10.0, 19.5, 13.5)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:35.724408,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 40.0, 34.6)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.2, 7.52)","(10.0, 19.5, 12.2)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:36.954641,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 25.5)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.2, 7.52)","(10.0, 19.0, 12.2)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:38.187555,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 25.5)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.2, 8.78)","(10.0, 19.0, 12.2)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:39.302661,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 25.5)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.2, 8.870588235294118)","(10.0, 19.0, 12.2)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:40.416915,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 25.5)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 10.75)","(6.5, 9.0, 8.6)","(10.0, 19.0, 12.2)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:41.595264,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 25.5)","(4.6, 10.5, 8.633333333333333)","(8.0, 14.5, 13.457142857142859)","(6.5, 9.0, 8.675)","(10.0, 19.0, 12.2)","(2.2, 3.95, 3.0650000000000004)"
06-01-2023 17:27:42.786205,"(31.0, 85.0, 70.42857142857143)","(5.5, 99999, 99990)","(19.0, 38.0, 29.666666666666668)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.973333333333333)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:43.872227,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.95)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:45.001165,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.625)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:46.180611,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.533333333333333)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
06-01-2023 17:27:47.316642,"(31.0, 85.0, 60.5)","(5.5, 99999, 99990)","(19.0, 38.0, 25.75)","(4.6, 10.5, 8.666666666666666)","(8.0, 14.5, 12.133333333333333)","(6.5, 9.0, 8.65)","(10.0, 19.0, 13.666666666666666)","(2.2, 3.95, 2.7833333333333337)"
