,Sir William Bruce,Jimmys Dream,The Rampant,Dealings Done,Buck Norris,Hill Billy Flyer,Seefeld,Copperchino,Greyt Intentions
11-01-2023 16:14:06.538125,"(7.0, 9.6, 9.28)","(1.7, 1.87, 1.8604761904761906)","(10.0, 12.5, 11.40909090909091)","(6.5, 10.5, 9.82)","(16.0, 34.0, 28.666666666666668)","(10.0, 16.5, 14.5)","(12.0, 20.0, 17.75)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 153.33333333333334)"
11-01-2023 16:14:07.904453,"(7.0, 9.6, 9.28)","(1.7, 1.87, 1.8320125786163524)","(10.0, 12.5, 11.375)","(6.5, 10.5, 10.122222222222222)","(16.0, 34.0, 33.333333333333336)","(10.0, 16.5, 14.7)","(12.0, 20.0, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 153.33333333333334)"
11-01-2023 16:14:09.215700,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.375)","(6.5, 10.5, 10.122222222222222)","(16.0, 36.0, 33.333333333333336)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 153.33333333333334)"
11-01-2023 16:14:10.466609,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.375)","(6.5, 10.5, 10.122222222222222)","(16.0, 36.0, 33.333333333333336)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:11.694170,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.352941176470589)","(6.5, 10.5, 10.122222222222222)","(16.0, 36.0, 33.333333333333336)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:12.918605,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.352941176470589)","(6.5, 10.5, 10.122222222222222)","(16.0, 36.0, 33.333333333333336)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:14.200600,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.352941176470589)","(6.5, 10.5, 10.122222222222222)","(16.0, 36.0, 33.42857142857143)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:15.350690,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.352941176470589)","(6.5, 10.5, 10.122222222222222)","(16.0, 34.0, 32.0)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:16.516216,"(7.0, 9.2, 8.95)","(1.7, 1.86, 1.8409613869188337)","(10.0, 12.5, 11.352941176470589)","(6.5, 10.5, 10.122222222222222)","(16.0, 34.0, 31.333333333333332)","(10.0, 16.5, 14.7)","(12.0, 19.5, 18.428571428571427)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:17.611360,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8411691348402184)","(10.0, 12.5, 11.642857142857142)","(6.5, 10.5, 9.75)","(16.0, 34.0, 27.333333333333332)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:18.797164,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8411691348402184)","(10.0, 12.5, 11.642857142857142)","(6.5, 10.5, 9.75)","(16.0, 32.0, 25.77777777777778)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:20.004891,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8411691348402184)","(10.0, 12.5, 11.642857142857142)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.77777777777778)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:21.211193,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8411691348402184)","(10.0, 12.5, 11.642857142857142)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.77777777777778)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:22.411931,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8411691348402184)","(10.0, 12.5, 11.642857142857142)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.77777777777778)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:23.623890,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 15.0, 12.375)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.77777777777778)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:24.872009,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.8125)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.77777777777778)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:26.146413,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.916666666666666)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.333333333333332)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:27.495721,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.916666666666666)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.333333333333332)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:28.832342,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.916666666666666)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.333333333333332)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:30.122717,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.916666666666666)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.333333333333332)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
11-01-2023 16:14:31.400397,"(7.0, 9.2, 9.018181818181818)","(1.7, 1.86, 1.8409463722397477)","(10.0, 14.0, 11.916666666666666)","(6.5, 10.5, 10.122222222222222)","(16.0, 32.0, 25.333333333333332)","(10.0, 16.5, 14.625)","(12.0, 19.5, 18.0)","(101.0, 220.0, 166.66666666666666)","(101.0, 220.0, 170.0)"
