,Coppola Bale,Besant Bale,Yellow Hawk,Tessa Poppy,Ferocious Betty,Trending Yale,Xyloid Bale,Kanji Waco
11-01-2023 18:19:46.977713,"(9.0, 20.0, 18.755555555555556)","(17.0, 40.0, 27.75)","(10.0, 19.5, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:48.204987,"(9.0, 20.0, 18.755555555555556)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.450000000000003)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:49.428263,"(9.0, 20.0, 18.755555555555556)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:50.727805,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:51.917815,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:53.048829,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6950000000000003)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:54.247934,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.94, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:55.668051,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:56.783017,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:57.890098,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:19:59.051872,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:20:00.130925,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:20:01.258150,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 18.94)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.6925)","(7.0, 13.0, 11.5)"
11-01-2023 18:20:02.350662,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.92, 2.69)","(7.0, 13.0, 11.5)"
11-01-2023 18:20:03.605513,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.9, 2.69)","(7.0, 13.0, 11.5)"
11-01-2023 18:20:04.660048,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 24.0)","(13.0, 29.0, 27.0)","(4.4, 6.8, 6.15)","(1.95, 2.9, 2.69)","(7.0, 13.0, 12.333333333333332)"
11-01-2023 18:20:05.865989,"(9.0, 20.0, 15.09090909090909)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.9, 2.69)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:07.108694,"(9.0, 20.0, 15.09090909090909)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.9, 2.69)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:08.516417,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.9, 2.69)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:09.677644,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 2.9, 2.69375)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:10.887233,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 22.909090909090907)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.2, 2.69375)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:12.039908,"(9.0, 20.0, 13.25)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.2, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:13.173679,"(9.0, 20.0, 13.25)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:14.371022,"(9.0, 20.0, 15.09090909090909)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:15.518301,"(9.0, 20.0, 13.25)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:16.766716,"(9.0, 20.0, 13.25)","(17.0, 40.0, 22.545454545454547)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:17.894083,"(9.0, 20.0, 13.25)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:18.963626,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:20.075392,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:21.133224,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.125)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
11-01-2023 18:20:22.270163,"(9.0, 20.0, 15.692307692307693)","(17.0, 40.0, 27.75)","(10.0, 20.0, 16.214285714285715)","(13.0, 27.0, 23.375)","(13.0, 29.0, 25.25)","(4.4, 6.8, 6.0)","(1.95, 3.15, 2.6926666666666668)","(7.0, 13.0, 11.8)"
