,Claim The Crown,Kirkeby,Field Legend,Graces Secret,Chenin,Segrill,Bowery Breeze,Ladies Gem
11-01-2023 14:43:45.224046,"(5.5, 7.2, 6.44)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:46.436142,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:47.626018,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:48.835350,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:50.043006,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:51.258023,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:52.440980,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 19.40909090909091)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:53.549986,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:54.658823,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
11-01-2023 14:43:55.729488,"(5.5, 7.2, 6.50909090909091)","(7.0, 13.0, 9.959999999999999)","(7.0, 12.0, 9.6)","(15.0, 28.0, 22.09375)","(3.0, 3.65, 3.5999999999999996)","(18.0, 22.0, 20.833333333333332)","(3.9, 4.7, 4.597237569060773)","(16.0, 24.0, 18.642857142857142)"
