,Assertin Lady,Astrophysics,Bout,Chica Bonita,Harbelle,Kasear,Shadie Milly,Shes Enuff,Vancity
15-12-2022 14:43:11.854868,"(2.3, 2.9, 2.8473684210526313)","(101.0, 270.0, 195.0)","(7.5, 9.0, 8.925)","(91.0, 270.0, 198.0)","(2.9, 3.9, 3.8796610169491523)","(3.8, 4.5, 4.35)","(41.0, 170.0, 65.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 227.0)"
15-12-2022 14:43:12.995222,"(2.3, 2.9, 2.8473684210526313)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 65.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 227.0)"
15-12-2022 14:43:14.113530,"(2.3, 2.9, 2.8473684210526313)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 110.26666666666667)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 130.0)"
15-12-2022 14:43:15.307664,"(2.3, 2.9, 2.8652173913043475)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 59.75)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 130.0)"
15-12-2022 14:43:16.614471,"(2.3, 2.9, 2.8652173913043475)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 59.75)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 130.0)"
15-12-2022 14:43:17.834285,"(2.3, 2.9, 2.8652173913043475)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 59.75)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 130.0)"
15-12-2022 14:43:19.068629,"(2.3, 2.9, 2.8652173913043475)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 102.15384615384615)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 130.0)"
15-12-2022 14:43:20.287364,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.7333333333333334)","(3.8, 4.5, 4.35)","(41.0, 170.0, 128.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:21.433369,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 128.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:22.619029,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.899999999999999)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 128.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:24.129434,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 128.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:25.684882,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 128.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:26.962096,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 128.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:28.202674,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 118.11764705882354)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:29.533630,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 91.0909090909091)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:30.866644,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:32.231513,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:33.715881,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:35.199038,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:36.398213,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:37.586155,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:38.814571,"(2.3, 2.9, 2.8789473684210525)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6486486486486487)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:39.999964,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 9.2, 8.825)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.6578125)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:41.180660,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 9.2, 10.200000000000001)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.9, 3.672222222222222)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:42.375838,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 13.0, 10.666666666666668)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.672222222222222)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 34.666666666666664)","(51.0, 270.0, 211.42857142857142)"
15-12-2022 14:43:43.586297,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 13.0, 10.666666666666668)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.672222222222222)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 37.5)","(51.0, 270.0, 211.42857142857142)"
15-12-2022 14:43:44.852346,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 13.0, 11.76)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.672222222222222)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 37.5)","(51.0, 270.0, 211.42857142857142)"
15-12-2022 14:43:46.095857,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.076923076923077)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.672222222222222)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 37.5)","(51.0, 270.0, 211.42857142857142)"
15-12-2022 14:43:47.455561,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 11.076923076923077)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 37.5)","(51.0, 270.0, 211.42857142857142)"
15-12-2022 14:43:48.639753,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.0)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:49.828260,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.0)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:51.025110,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.0)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:52.174114,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.0)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:53.347384,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.0)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:54.417689,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.90909090909091)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:55.473222,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.90909090909091)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 108.0)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:56.587958,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.90909090909091)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 42.6)","(51.0, 270.0, 170.0)"
15-12-2022 14:43:57.646211,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 11.470588235294118)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:58.687708,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:43:59.766503,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:00.881501,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:01.921215,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:02.953340,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:04.005678,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 63.25)","(26.0, 46.0, 37.5)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:05.040419,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 11.25)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:06.166965,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 75.11111111111111)","(26.0, 46.0, 37.0)","(51.0, 270.0, 186.0)"
15-12-2022 14:44:07.256692,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 195.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:08.361175,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 37.0)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:09.444943,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:10.532310,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:11.601102,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:12.671228,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:13.783623,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:14.900424,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
15-12-2022 14:44:16.020325,"(2.3, 2.9, 2.8454545454545452)","(101.0, 270.0, 170.0)","(7.5, 12.5, 10.85)","(91.0, 270.0, 153.33333333333334)","(2.9, 3.85, 3.67)","(3.8, 4.5, 4.35)","(41.0, 170.0, 98.83333333333333)","(26.0, 46.0, 41.75)","(51.0, 270.0, 130.0)"
