,Halloween,Bettor Sport,Kaybee Starzzz,Theultimate,Bettathanapokeindeye Nz,Guy Looks Good,Classie American Nz,Imperious,Kickatinalongpony,Our Modern Minnie
09-01-2023 15:56:17.214204,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:18.513545,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:19.828426,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:21.278597,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:22.599831,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:23.860618,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:25.062637,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:26.234091,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:27.427771,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:28.648957,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:29.876782,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:31.109347,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:32.367019,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:33.624309,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:34.920947,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:36.096908,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:37.285110,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:38.447527,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:39.654785,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:40.861927,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.7899999999999996)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:42.044565,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:43.269885,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:44.524974,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:45.797672,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:47.031579,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:48.266573,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:49.500044,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
09-01-2023 15:56:50.677680,"(8.5, 15.0, 12.4)","(9.0, 20.0, 16.9)","(71.0, 220.0, 174.28571428571428)","(21.0, 55.0, 29.0)","(5.0, 99999, 99990)","(4.4, 8.8, 8.585714285714285)","(5.5, 99999, 99990)","(15.0, 32.0, 22.75)","(2.9, 4.1, 3.251578947368421)","(31.0, 140.0, 109.14285714285714)"
