,Vanburg,Oakfield Triumph,Sneaky Paige,Compassionate,Hell I Am,Shalailed,Resonator,Arch Of Titus
14-12-2022 14:26:27.493935,"(91.0, 310.0, 243.33333333333334)","(91.0, 340.0, 273.3333333333333)","(3.3, 4.1, 3.9615384615384617)","(26.0, 42.0, 40.45454545454545)","(2.5, 2.82, 2.894054054054054)","(3.8, 4.6, 4.478947368421053)","(6.5, 7.4, 7.2681818181818185)","(91.0, 240.0, 235.55555555555554)"
14-12-2022 14:26:28.912602,"(91.0, 310.0, 243.33333333333334)","(91.0, 310.0, 255.0)","(3.3, 4.0, 3.951089588377724)","(26.0, 42.0, 40.3)","(2.5, 2.9, 2.8909090909090907)","(3.8, 4.5, 4.478947368421053)","(6.5, 7.6, 7.2681818181818185)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:30.309506,"(91.0, 310.0, 243.33333333333334)","(91.0, 300.0, 250.0)","(3.3, 4.0, 3.95)","(26.0, 42.0, 42.05555555555556)","(2.5, 2.9, 2.9036363636363633)","(3.8, 4.5, 4.478947368421053)","(6.5, 7.6, 7.2681818181818185)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:31.707860,"(91.0, 310.0, 243.33333333333334)","(91.0, 300.0, 245.0)","(3.3, 3.95, 3.9260942760942763)","(26.0, 44.0, 42.05555555555556)","(2.5, 2.92, 2.9062745098039215)","(3.8, 4.5, 4.42)","(6.5, 7.6, 7.2681818181818185)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:33.111881,"(91.0, 310.0, 243.33333333333334)","(91.0, 290.0, 248.57142857142856)","(3.3, 3.95, 3.926254180602007)","(26.0, 44.0, 42.57142857142857)","(2.5, 2.98, 2.9062745098039215)","(3.8, 4.5, 4.341463414634147)","(6.5, 7.6, 7.302040816326531)","(91.0, 260.0, 235.55555555555554)"
14-12-2022 14:26:34.517771,"(91.0, 310.0, 243.33333333333334)","(91.0, 280.0, 248.57142857142856)","(3.3, 3.95, 3.9255172413793105)","(26.0, 44.0, 42.25)","(2.5, 2.98, 2.9266666666666667)","(3.8, 4.4, 4.413793103448276)","(6.5, 7.6, 7.2496)","(91.0, 260.0, 247.77777777777777)"
14-12-2022 14:26:35.998386,"(91.0, 380.0, 266.6666666666667)","(91.0, 280.0, 246.66666666666669)","(3.3, 3.95, 3.9255172413793105)","(26.0, 44.0, 42.92307692307692)","(2.5, 2.98, 2.965777777777778)","(3.8, 4.6, 4.410526315789474)","(6.5, 7.6, 7.26046511627907)","(91.0, 260.0, 185.0)"
14-12-2022 14:26:37.395984,"(91.0, 360.0, 285.0)","(91.0, 280.0, 246.66666666666669)","(3.3, 3.95, 3.9247440273037544)","(26.0, 44.0, 42.6)","(2.5, 2.98, 3.038278388278388)","(3.8, 4.6, 4.403846153846154)","(6.5, 7.6, 7.392307692307693)","(91.0, 260.0, 185.0)"
14-12-2022 14:26:38.786509,"(91.0, 350.0, 256.6666666666667)","(91.0, 280.0, 255.0)","(3.3, 3.95, 3.9064705882352944)","(31.0, 44.0, 42.6)","(2.6, 3.05, 3.0396584440227703)","(3.9, 4.5, 4.4031746031746035)","(6.5, 7.4, 7.390476190476191)","(91.0, 260.0, 185.0)"
14-12-2022 14:26:40.116719,"(101.0, 340.0, 275.0)","(91.0, 280.0, 267.5)","(3.4, 3.95, 3.876923076923077)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0396193771626296)","(3.9, 4.5, 4.5024390243902435)","(6.5, 7.4, 7.365178571428571)","(91.0, 260.0, 235.71428571428572)"
14-12-2022 14:26:41.530545,"(101.0, 350.0, 275.0)","(91.0, 270.0, 263.33333333333337)","(3.4, 3.9, 3.872413793103448)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0396193771626296)","(3.9, 4.6, 4.441721854304636)","(6.5, 7.4, 7.364383561643836)","(91.0, 250.0, 233.33333333333334)"
14-12-2022 14:26:42.875095,"(91.0, 350.0, 275.0)","(101.0, 280.0, 263.33333333333337)","(3.4, 3.9, 3.8166666666666664)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0396193771626296)","(3.8, 4.7, 4.458783783783784)","(6.5, 7.6, 7.356756756756757)","(101.0, 250.0, 214.28571428571428)"
14-12-2022 14:26:44.249334,"(91.0, 350.0, 260.0)","(101.0, 280.0, 263.33333333333337)","(3.4, 3.85, 3.8166666666666664)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.038984088127295)","(3.8, 4.7, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 240.0, 214.28571428571428)"
14-12-2022 14:26:45.646067,"(91.0, 350.0, 260.0)","(101.0, 280.0, 263.33333333333337)","(3.4, 3.85, 3.8062043795620437)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.038984088127295)","(3.8, 4.6, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 240.0, 204.0)"
14-12-2022 14:26:46.996296,"(91.0, 350.0, 260.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.85, 3.82)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0389162561576355)","(3.8, 4.6, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 240.0, 210.0)"
14-12-2022 14:26:48.306219,"(91.0, 350.0, 260.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.85, 3.854421768707483)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0386746987951807)","(3.8, 4.6, 4.586192468619246)","(6.5, 7.6, 7.0525)","(101.0, 220.0, 196.66666666666666)"
14-12-2022 14:26:49.667644,"(91.0, 350.0, 260.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.9, 3.8534246575342466)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0387961859356376)","(3.8, 4.6, 4.484030418250951)","(6.5, 7.6, 7.3566666666666665)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:51.252418,"(91.0, 380.0, 245.0)","(101.0, 280.0, 265.7142857142857)","(3.4, 3.9, 3.8534246575342466)","(31.0, 44.0, 40.888888888888886)","(2.6, 3.05, 3.0387961859356376)","(3.8, 4.5, 4.484030418250951)","(6.5, 7.6, 7.344615384615385)","(101.0, 220.0, 192.0)"
14-12-2022 14:26:52.680593,"(91.0, 360.0, 264.0)","(101.0, 320.0, 201.8181818181818)","(3.4, 3.9, 3.8534246575342466)","(31.0, 48.0, 44.888888888888886)","(2.6, 3.05, 3.039057043073341)","(3.8, 4.5, 4.417142857142857)","(6.5, 7.6, 7.351612903225806)","(101.0, 220.0, 192.0)"
