,Willful Bale,Rockstar Ohlmus,Zipping Bonanza,Jolene Bale,Hill Top Jonah,Ivy Isobel,Gypsy Play,Irving Bale
11-01-2023 21:04:19.543381,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.609999999999999)","(18.0, 65.0, 42.25)","(2.15, 2.72, 2.273846153846154)"
11-01-2023 21:04:20.905557,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.72, 2.3080000000000003)"
11-01-2023 21:04:22.224834,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.3080000000000003)"
11-01-2023 21:04:23.538267,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:24.805684,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:26.045320,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:27.360252,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 6.277777777777778)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.4293333333333336)"
11-01-2023 21:04:28.661610,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.3080000000000003)"
11-01-2023 21:04:29.989141,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.3080000000000003)"
11-01-2023 21:04:31.393814,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.7, 2.264615384615385)"
11-01-2023 21:04:32.650639,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:33.917133,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:35.324237,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:04:36.672965,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:04:38.017273,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:39.525167,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:40.989409,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 42.25)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:42.436072,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 33.0)","(2.15, 2.68, 2.368888888888889)"
11-01-2023 21:04:44.078622,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 33.0)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:04:45.664385,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 33.0)","(2.15, 2.68, 2.264615384615385)"
11-01-2023 21:04:47.119756,"(3.2, 5.9, 3.508695652173913)","(41.0, 330.0, 150.3076923076923)","(41.0, 370.0, 230.28571428571428)","(8.0, 16.0, 10.149999999999999)","(9.0, 18.0, 13.5)","(5.0, 9.6, 7.108333333333333)","(18.0, 65.0, 33.0)","(2.15, 2.68, 2.368888888888889)"
