,Classic Boom,Leisure Games,Oakfield Feather,Pie Party,Swanic Boom,Dare I Say,Hearsay,I Am Takingthelot,In Barcelona,White Ribbon,Yasmeen
11-01-2023 12:35:22.974047,"(20.0, 24.0, 20.7)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 51.666666666666664)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.65)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:24.657813,"(20.0, 24.0, 20.7)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 51.666666666666664)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.65)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:26.330960,"(20.0, 24.0, 20.7)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 51.666666666666664)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.65)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:28.068812,"(20.0, 24.0, 20.7)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 51.666666666666664)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.65)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:29.848071,"(20.0, 24.0, 20.7)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 51.666666666666664)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.65)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:31.551922,"(20.0, 24.0, 20.61764705882353)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 51.666666666666664)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.65)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:33.286791,"(20.0, 23.0, 19.884615384615383)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:35.113901,"(20.0, 23.0, 19.884615384615383)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:36.927986,"(20.0, 23.0, 19.884615384615383)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
11-01-2023 12:35:38.801560,"(20.0, 23.0, 19.884615384615383)","(101.0, 220.0, 170.0)","(101.0, 220.0, 153.33333333333334)","(4.8, 6.0, 5.966666666666667)","(31.0, 70.0, 64.33333333333334)","(41.0, 75.0, 68.83333333333333)","(9.0, 13.0, 11.839285714285715)","(4.2, 6.8, 6.5)","(15.0, 21.0, 20.5)","(12.0, 19.0, 16.333333333333332)","(2.35, 2.82, 2.7611764705882353)"
