,Downtown Lucca,Sporting Tristar,Uptotrix,Cronin,Melati Boy,Tackas Last Dance,Malibu Dream,Wheres Our Money,Lady Lagertha Nz,Muddy Montana
10-01-2023 20:20:30.475304,"(2.8, 5.4, 5.154545454545454)","(10.0, 10.5, 9.76)","(2.7, 3.15, 2.984)","(101.0, 160.0, 137.5)","(13.0, 15.5, 14.3)","(71.0, 95.0, 195.83333333333334)","(9.0, 13.5, 13.363636363636363)","(9.0, 11.0, 10.75)","(8.5, 99999, 99990)","(61.0, 70.0, 65.45454545454545)"
10-01-2023 20:20:31.660372,"(2.8, 5.4, 5.154545454545454)","(10.0, 10.0, 9.76)","(2.7, 3.0, 2.984)","(101.0, 160.0, 137.5)","(13.0, 15.5, 14.3)","(71.0, 220.0, 165.625)","(9.0, 13.5, 25.92857142857143)","(9.0, 11.0, 10.75)","(8.5, 99999, 99990)","(61.0, 70.0, 85.0)"
10-01-2023 20:20:32.901501,"(2.8, 5.4, 5.142857142857142)","(10.0, 11.0, 10.68)","(2.7, 3.0, 2.984)","(101.0, 160.0, 136.0)","(13.0, 15.5, 15.192307692307692)","(71.0, 220.0, 168.0)","(9.0, 28.0, 15.857142857142858)","(9.0, 11.0, 10.72)","(8.5, 99999, 99990)","(61.0, 95.0, 85.0)"
10-01-2023 20:20:34.105520,"(2.8, 5.4, 5.142857142857142)","(10.0, 11.0, 10.11111111111111)","(2.7, 3.0, 2.975)","(101.0, 160.0, 136.0)","(13.0, 15.5, 13.571428571428571)","(71.0, 210.0, 157.5)","(9.0, 27.0, 17.666666666666668)","(9.0, 11.0, 10.85)","(8.5, 99999, 99990)","(61.0, 95.0, 86.66666666666667)"
10-01-2023 20:20:35.386442,"(2.8, 5.4, 5.16)","(10.0, 10.5, 10.05)","(2.7, 3.0, 2.975)","(101.0, 160.0, 136.0)","(13.0, 15.0, 13.571428571428571)","(71.0, 210.0, 162.85714285714286)","(9.0, 25.0, 17.0)","(9.0, 11.0, 10.666666666666666)","(8.5, 99999, 99990)","(61.0, 95.0, 86.66666666666667)"
10-01-2023 20:20:36.680043,"(2.8, 5.4, 5.16)","(10.0, 10.5, 10.05)","(2.7, 3.0, 2.9857142857142858)","(101.0, 160.0, 150.0)","(13.0, 15.0, 13.8)","(71.0, 200.0, 130.0)","(9.0, 23.0, 14.88888888888889)","(9.0, 11.0, 10.833333333333334)","(8.5, 99999, 99990)","(61.0, 95.0, 86.66666666666667)"
10-01-2023 20:20:37.997551,"(2.8, 5.4, 4.569230769230769)","(10.0, 10.5, 10.05)","(2.7, 3.0, 2.9857142857142858)","(101.0, 180.0, 150.0)","(13.0, 15.0, 13.8)","(71.0, 200.0, 130.0)","(9.0, 22.0, 14.88888888888889)","(9.0, 11.0, 10.875)","(8.5, 99999, 99990)","(61.0, 95.0, 86.66666666666667)"
10-01-2023 20:20:39.373296,"(2.8, 5.3, 4.9)","(10.0, 10.5, 10.2)","(2.7, 3.0, 3.06551724137931)","(101.0, 230.0, 165.0)","(13.0, 15.0, 13.869565217391305)","(71.0, 200.0, 123.63636363636363)","(9.0, 22.0, 15.166666666666666)","(9.0, 11.0, 12.1)","(8.5, 99999, 99990)","(61.0, 95.0, 90.83333333333334)"
10-01-2023 20:20:40.659800,"(2.7, 5.2, 4.4)","(10.0, 11.5, 9.785365853658536)","(2.7, 3.3, 3.06551724137931)","(101.0, 210.0, 103.33333333333333)","(13.0, 17.0, 15.916666666666668)","(71.0, 200.0, 127.5)","(9.0, 21.0, 15.1)","(9.0, 13.0, 12.1)","(8.5, 99999, 99990)","(61.0, 95.0, 90.83333333333334)"
10-01-2023 20:20:41.891856,"(2.7, 5.1, 4.999122807017543)","(10.0, 11.5, 9.902272727272727)","(2.7, 3.3, 3.0063636363636363)","(101.0, 120.0, 164.0)","(13.0, 16.5, 14.75)","(71.0, 190.0, 154.44444444444446)","(9.0, 19.5, 14.416666666666666)","(9.0, 13.0, 12.1)","(8.5, 99999, 99990)","(61.0, 95.0, 90.0)"
10-01-2023 20:20:43.136558,"(2.7, 5.1, 4.4714285714285715)","(10.0, 11.5, 9.909302325581395)","(2.7, 3.3, 3.0063636363636363)","(101.0, 200.0, 168.88888888888889)","(13.0, 16.5, 14.38888888888889)","(71.0, 180.0, 138.88888888888889)","(9.0, 19.0, 15.333333333333334)","(9.0, 13.0, 11.875)","(8.5, 99999, 99990)","(61.0, 95.0, 84.0)"
10-01-2023 20:20:44.345594,"(2.7, 5.1, 4.38)","(10.0, 10.5, 10.15)","(2.7, 3.3, 3.0607407407407408)","(101.0, 180.0, 158.75)","(13.0, 15.5, 14.636363636363637)","(71.0, 160.0, 112.5)","(9.0, 18.0, 15.666666666666666)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 90.0, 86.36363636363636)"
10-01-2023 20:20:45.551173,"(2.7, 5.1, 4.585714285714285)","(10.0, 10.5, 10.15)","(2.7, 3.3, 3.0218181818181815)","(101.0, 170.0, 160.625)","(13.0, 15.0, 14.636363636363637)","(71.0, 160.0, 131.11111111111111)","(9.0, 18.0, 15.666666666666666)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 90.0, 86.36363636363636)"
10-01-2023 20:20:46.849882,"(2.8, 5.1, 4.585714285714285)","(10.0, 10.5, 10.15)","(2.7, 3.3, 3.0218181818181815)","(101.0, 160.0, 145.55555555555554)","(14.0, 15.0, 14.5)","(61.0, 150.0, 105.0)","(9.0, 18.0, 15.772727272727273)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 90.0, 80.0)"
10-01-2023 20:20:48.217994,"(2.8, 5.1, 4.585714285714285)","(10.0, 10.5, 10.15)","(2.7, 3.3, 3.3266666666666667)","(101.0, 160.0, 132.72727272727272)","(14.0, 15.0, 15.454545454545453)","(61.0, 140.0, 117.5)","(9.0, 18.0, 16.5)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 90.0, 80.0)"
10-01-2023 20:20:49.533359,"(2.8, 5.1, 4.585714285714285)","(10.0, 10.5, 10.22)","(2.7, 3.4, 3.19)","(101.0, 160.0, 137.5)","(14.0, 16.0, 14.375)","(61.0, 160.0, 117.5)","(9.0, 17.5, 16.166666666666668)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 90.0, 86.0)"
10-01-2023 20:20:50.878742,"(2.8, 5.1, 4.585714285714285)","(10.0, 10.5, 10.22)","(2.7, 3.4, 3.04)","(101.0, 150.0, 130.0)","(14.0, 17.0, 15.346153846153847)","(61.0, 160.0, 120.0)","(9.0, 17.0, 15.61111111111111)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 90.0, 83.0)"
10-01-2023 20:20:52.164825,"(2.8, 5.1, 4.5)","(10.0, 10.5, 9.959999999999999)","(2.7, 3.4, 3.04)","(101.0, 140.0, 120.0)","(14.0, 16.5, 15.375)","(61.0, 150.0, 133.33333333333334)","(9.0, 17.0, 15.61111111111111)","(9.0, 13.0, 11.875)","(8.5, 99999, 99990)","(61.0, 85.0, 83.0)"
10-01-2023 20:20:53.374493,"(2.8, 5.1, 4.5)","(10.0, 10.5, 9.959999999999999)","(2.7, 3.4, 3.04)","(101.0, 140.0, 130.0)","(14.0, 16.5, 15.375)","(61.0, 150.0, 133.33333333333334)","(9.0, 17.0, 15.61111111111111)","(9.0, 13.0, 11.875)","(8.5, 99999, 99990)","(61.0, 85.0, 83.0)"
10-01-2023 20:20:54.549476,"(2.8, 5.1, 4.5)","(10.0, 10.5, 9.959999999999999)","(2.7, 3.4, 3.00625)","(101.0, 140.0, 130.0)","(14.0, 16.5, 15.375)","(61.0, 150.0, 133.33333333333334)","(9.0, 17.0, 15.833333333333334)","(9.0, 13.0, 11.875)","(8.5, 99999, 99990)","(61.0, 85.0, 78.33333333333333)"
10-01-2023 20:20:55.758474,"(2.8, 5.1, 4.5)","(10.0, 10.5, 9.959999999999999)","(2.7, 3.35, 3.02625)","(101.0, 140.0, 130.0)","(14.0, 16.0, 15.045454545454545)","(61.0, 160.0, 104.5)","(9.0, 16.5, 15.38888888888889)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 85.0, 78.57142857142857)"
10-01-2023 20:20:56.995273,"(2.8, 5.1, 4.5)","(10.0, 10.5, 9.959999999999999)","(2.7, 3.35, 3.02625)","(101.0, 140.0, 130.0)","(14.0, 15.5, 14.363636363636363)","(61.0, 150.0, 104.5)","(9.0, 16.5, 15.38888888888889)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 80.0, 76.66666666666667)"
10-01-2023 20:20:58.241680,"(2.8, 5.1, 4.5)","(10.0, 10.5, 9.959999999999999)","(2.7, 3.35, 3.02625)","(101.0, 140.0, 130.0)","(14.0, 15.5, 14.363636363636363)","(61.0, 150.0, 98.0)","(9.0, 16.5, 15.458333333333334)","(9.0, 13.0, 11.875)","(8.5, 99999, 99990)","(61.0, 80.0, 76.66666666666667)"
10-01-2023 20:20:59.522873,"(2.8, 5.1, 4.5)","(10.0, 10.5, 10.0875)","(2.7, 3.35, 3.0875)","(101.0, 140.0, 130.0)","(14.0, 15.5, 14.363636363636363)","(61.0, 150.0, 76.15384615384616)","(9.0, 16.5, 15.458333333333334)","(9.0, 13.0, 11.875)","(8.5, 99999, 99990)","(61.0, 80.0, 76.66666666666667)"
10-01-2023 20:21:00.863553,"(2.8, 5.1, 4.5)","(10.0, 10.5, 12.866666666666667)","(2.7, 3.35, 3.11)","(101.0, 140.0, 130.0)","(14.0, 15.5, 14.636363636363637)","(61.0, 150.0, 120.0)","(9.0, 16.5, 15.71875)","(9.0, 13.0, 12.25)","(8.5, 99999, 99990)","(61.0, 80.0, 79.0)"
