,Blitzem Benny,Artimos,No More Promises,Gracenava,Shady Jess,Tara Leeann,White Pointer,Glitter Strip,Notmuchuptop,Mach Charm
09-01-2023 13:46:58.651267,"(26.0, 48.0, 44.92307692307692)","(21.0, 38.0, 35.0)","(12.0, 25.0, 22.67857142857143)","(17.0, 28.0, 27.5)","(2.9, 3.7, 3.553921568627451)","(4.4, 5.4, 5.5375)","(71.0, 150.0, 105.55555555555556)","(12.0, 16.5, 14.511904761904763)","(4.6, 5.0, 4.917592592592593)","(7.0, 8.4, 8.180645161290323)"
09-01-2023 13:47:00.131833,"(26.0, 48.0, 46.0)","(21.0, 38.0, 38.857142857142854)","(13.0, 23.0, 22.85)","(16.0, 29.0, 23.4)","(2.9, 3.75, 3.659259259259259)","(4.4, 5.6, 5.5874999999999995)","(71.0, 110.0, 105.0)","(12.0, 15.0, 14.557553956834532)","(4.6, 5.0, 4.951685393258427)","(7.0, 8.4, 8.24375)"
09-01-2023 13:47:01.552239,"(26.0, 48.0, 46.0)","(21.0, 40.0, 38.857142857142854)","(13.0, 23.0, 22.85)","(16.0, 29.0, 23.4)","(2.9, 3.75, 3.659259259259259)","(4.4, 5.6, 5.5874999999999995)","(71.0, 110.0, 105.0)","(12.0, 15.0, 14.557553956834532)","(4.6, 5.0, 4.951685393258427)","(7.0, 8.4, 8.24375)"
09-01-2023 13:47:02.986534,"(26.0, 48.0, 44.0)","(21.0, 40.0, 34.285714285714285)","(13.0, 23.0, 22.555555555555557)","(16.0, 29.0, 23.285714285714285)","(2.9, 3.75, 3.660091743119266)","(4.4, 5.6, 5.5874999999999995)","(71.0, 110.0, 105.0)","(12.0, 15.0, 14.557553956834532)","(4.6, 5.0, 4.951136363636364)","(7.0, 8.4, 8.17142857142857)"
09-01-2023 13:47:04.421936,"(26.0, 48.0, 44.0)","(21.0, 40.0, 34.285714285714285)","(13.0, 23.0, 22.666666666666668)","(16.0, 28.0, 26.5)","(2.9, 3.75, 3.660091743119266)","(4.4, 5.6, 5.588372093023255)","(71.0, 110.0, 105.0)","(12.0, 15.0, 14.56060606060606)","(4.6, 5.1, 5.0874999999999995)","(7.0, 8.4, 8.17142857142857)"
09-01-2023 13:47:05.900926,"(26.0, 50.0, 46.0)","(21.0, 40.0, 36.0)","(13.0, 23.0, 21.055555555555557)","(16.0, 28.0, 26.444444444444443)","(2.9, 3.45, 3.4641666666666664)","(4.4, 5.6, 5.588888888888889)","(71.0, 200.0, 166.0)","(12.0, 15.0, 14.56060606060606)","(4.6, 5.1, 5.076315789473684)","(7.0, 8.4, 8.107142857142858)"
09-01-2023 13:47:07.388030,"(26.0, 50.0, 46.666666666666664)","(21.0, 40.0, 36.0)","(13.0, 23.0, 22.23913043478261)","(16.0, 27.0, 26.666666666666664)","(2.9, 3.75, 3.5551136363636364)","(4.4, 5.6, 5.588372093023255)","(71.0, 180.0, 166.0)","(12.0, 15.0, 14.529411764705882)","(4.6, 5.1, 5.07391304347826)","(7.0, 8.2, 8.151851851851852)"
09-01-2023 13:47:08.882401,"(26.0, 50.0, 46.666666666666664)","(21.0, 40.0, 36.0)","(13.0, 23.0, 22.23913043478261)","(16.0, 27.0, 28.125)","(2.9, 3.75, 3.4977941176470586)","(4.4, 5.6, 5.8933333333333335)","(71.0, 180.0, 166.0)","(12.0, 15.0, 14.02608695652174)","(4.6, 5.1, 5.068085106382979)","(7.0, 8.2, 8.214285714285715)"
09-01-2023 13:47:10.468331,"(26.0, 48.0, 50.0)","(21.0, 40.0, 36.0)","(13.0, 23.0, 22.23913043478261)","(16.0, 29.0, 28.125)","(2.9, 3.75, 3.5936170212765957)","(4.4, 6.2, 5.961290322580645)","(71.0, 180.0, 158.0)","(12.0, 15.0, 14.02608695652174)","(4.6, 5.1, 5.061538461538461)","(7.0, 8.4, 8.214285714285715)"
09-01-2023 13:47:11.938958,"(26.0, 55.0, 50.0)","(21.0, 40.0, 36.0)","(13.0, 23.0, 22.23913043478261)","(16.0, 29.0, 27.833333333333336)","(2.9, 3.75, 3.5035714285714286)","(4.4, 6.0, 5.979661016949152)","(71.0, 170.0, 158.0)","(12.0, 15.0, 14.02608695652174)","(4.6, 5.1, 5.13)","(7.0, 8.4, 8.028571428571428)"
09-01-2023 13:47:13.468887,"(26.0, 55.0, 48.5)","(21.0, 40.0, 36.0)","(13.0, 23.0, 22.07894736842105)","(17.0, 29.0, 26.0)","(2.9, 3.55, 3.507608695652174)","(4.4, 6.0, 5.9818181818181815)","(71.0, 170.0, 195.71428571428572)","(12.0, 15.0, 14.02608695652174)","(4.6, 5.2, 5.13)","(7.0, 8.4, 7.9411764705882355)"
09-01-2023 13:47:14.943188,"(26.0, 55.0, 48.5)","(21.0, 40.0, 35.5)","(13.0, 23.0, 21.923076923076923)","(17.0, 28.0, 28.4)","(2.9, 3.55, 3.422)","(4.4, 6.0, 5.723809523809524)","(71.0, 230.0, 193.33333333333334)","(12.0, 15.0, 14.02608695652174)","(4.6, 5.2, 5.13)","(7.0, 8.4, 7.9411764705882355)"
09-01-2023 13:47:16.354920,"(26.0, 55.0, 52.111111111111114)","(21.0, 46.0, 42.30769230769231)","(13.0, 23.0, 21.923076923076923)","(17.0, 38.0, 28.4)","(2.9, 3.45, 3.375)","(4.4, 6.2, 5.840625)","(71.0, 210.0, 130.0)","(12.0, 15.0, 14.02608695652174)","(4.6, 5.2, 5.052631578947368)","(7.0, 8.4, 8.7)"
09-01-2023 13:47:17.811018,"(26.0, 55.0, 45.5)","(21.0, 42.0, 34.0)","(13.0, 23.0, 21.5)","(17.0, 38.0, 32.0)","(2.9, 3.4, 3.3499999999999996)","(4.4, 6.2, 5.986046511627907)","(71.0, 200.0, 123.33333333333333)","(12.0, 15.0, 14.017543859649123)","(4.6, 5.2, 5.052631578947368)","(7.0, 9.0, 8.7)"
09-01-2023 13:47:19.321068,"(26.0, 50.0, 48.44444444444444)","(21.0, 42.0, 35.333333333333336)","(13.0, 23.0, 22.47826086956522)","(17.0, 38.0, 30.5)","(2.9, 3.4, 3.3473684210526318)","(4.4, 6.2, 6.032727272727273)","(71.0, 180.0, 123.33333333333333)","(12.0, 15.0, 14.017543859649123)","(4.6, 5.2, 5.092307692307692)","(7.0, 9.0, 8.7)"
09-01-2023 13:47:20.807965,"(26.0, 50.0, 48.44444444444444)","(21.0, 42.0, 35.333333333333336)","(13.0, 23.0, 22.47826086956522)","(17.0, 36.0, 29.4)","(2.9, 3.45, 3.3473684210526318)","(4.4, 6.2, 6.130434782608695)","(71.0, 180.0, 116.25)","(12.0, 15.0, 14.017543859649123)","(4.6, 5.2, 5.092307692307692)","(7.0, 9.0, 8.7)"
09-01-2023 13:47:22.373078,"(26.0, 50.0, 46.0)","(21.0, 42.0, 36.666666666666664)","(13.0, 23.0, 20.75)","(16.0, 36.0, 29.4)","(2.9, 3.45, 3.3473684210526318)","(4.4, 6.2, 6.153488372093023)","(71.0, 180.0, 116.25)","(12.0, 15.0, 14.017543859649123)","(4.6, 5.2, 5.092307692307692)","(7.0, 9.0, 7.914285714285714)"
09-01-2023 13:47:23.964673,"(26.0, 50.0, 44.8)","(21.0, 42.0, 38.0)","(13.0, 23.0, 21.2)","(16.0, 36.0, 30.5)","(2.9, 3.45, 3.3473684210526313)","(4.4, 6.2, 6.164285714285715)","(71.0, 180.0, 116.25)","(12.0, 15.0, 13.383561643835616)","(4.6, 5.2, 5.038461538461538)","(7.0, 8.2, 7.933333333333333)"
09-01-2023 13:47:25.658307,"(26.0, 55.0, 44.8)","(21.0, 42.0, 39.0)","(13.0, 23.0, 20.333333333333332)","(16.0, 36.0, 22.125)","(2.9, 3.45, 3.3473684210526313)","(4.4, 6.2, 6.170588235294118)","(71.0, 180.0, 165.0)","(12.0, 14.0, 13.383561643835616)","(4.6, 5.2, 5.025)","(7.0, 8.2, 8.333333333333334)"
09-01-2023 13:47:27.148926,"(26.0, 55.0, 44.8)","(21.0, 42.0, 39.0)","(13.0, 23.0, 20.333333333333332)","(16.0, 36.0, 22.125)","(2.9, 3.45, 3.3473684210526313)","(4.4, 6.2, 6.170588235294118)","(71.0, 180.0, 165.0)","(12.0, 14.0, 13.383561643835616)","(4.6, 5.2, 5.025)","(7.0, 9.0, 7.666666666666667)"
09-01-2023 13:47:28.833829,"(26.0, 55.0, 44.8)","(21.0, 38.0, 36.15384615384615)","(13.0, 23.0, 20.5)","(16.0, 36.0, 28.555555555555557)","(2.9, 3.55, 3.3425531914893614)","(4.6, 6.2, 6.105970149253731)","(71.0, 180.0, 140.0)","(12.0, 14.0, 13.383561643835616)","(4.6, 5.2, 4.829545454545454)","(7.0, 8.6, 8.329411764705883)"
09-01-2023 13:47:30.298165,"(26.0, 55.0, 47.714285714285715)","(21.0, 38.0, 32.5)","(13.0, 22.0, 24.125)","(16.0, 32.0, 15.038461538461538)","(2.9, 3.55, 3.4457142857142857)","(4.6, 6.2, 5.9609756097560975)","(71.0, 180.0, 140.0)","(12.0, 14.0, 13.408450704225352)","(4.6, 5.0, 4.847916666666666)","(7.0, 8.4, 8.899999999999999)"
09-01-2023 13:47:31.789792,"(31.0, 55.0, 50.75)","(21.0, 38.0, 32.46153846153846)","(14.0, 26.0, 24.25)","(16.0, 15.5, 27.0)","(2.9, 3.6, 3.716666666666667)","(4.6, 6.0, 5.949333333333334)","(71.0, 180.0, 133.33333333333334)","(12.0, 14.0, 13.551282051282051)","(4.6, 5.0, 4.860952380952381)","(7.0, 9.2, 7.6117647058823525)"
09-01-2023 13:47:33.190759,"(31.0, 55.0, 50.75)","(21.0, 38.0, 33.5)","(14.0, 26.0, 21.0)","(16.0, 30.0, 25.363636363636363)","(2.9, 3.9, 3.610526315789474)","(4.6, 6.0, 5.945714285714286)","(71.0, 180.0, 162.5)","(12.0, 15.0, 13.833333333333334)","(4.6, 5.0, 4.796428571428571)","(7.0, 8.0, 7.6117647058823525)"
