,Maheno,Reality Jewel,On The Cusp,Malaika Bale,Prince Of Egypt,Wolf,Master Jackal
0,"[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 24, 825549), 101.0, 580.0]"
1,"[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 25, 962935), 101.0, 570.0]"
2,"[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 27, 112698), 101.0, 570.0]"
3,"[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 28, 230981), 101.0, 570.0]"
4,"[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 29, 347124), 101.0, 590.0]"
5,"[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 30, 469832), 101.0, 590.0]"
6,"[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 31, 627130), 101.0, 590.0]"
7,"[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 32, 743000), 101.0, 590.0]"
8,"[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 33, 866015), 101.0, 590.0]"
9,"[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 34, 983520), 101.0, 600.0]"
10,"[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 36, 103688), 101.0, 600.0]"
11,"[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 1.85, 3.05]","[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 6.0, 11.0]","[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 9.0, 22.0]","[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 4.0, 6.2]","[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 7.5, 9.4]","[datetime.datetime(2022, 11, 28, 13, 47, 37, 301919), 101.0, 580.0]"
