,Dennis Choux,Kupido,Lescot,Better Than Banksy,Igotanidea,Sir Bitesalot,Tosen Glory,Irrewarra Gem,One Fornana Rhodes,Lady Merchant,Metsi,Mikki Magic,Eltanin,Greenhill Prince
06-01-2023 12:35:03.734071,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.6647058823529415)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:05.464964,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.65)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:07.129212,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.65)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:08.990502,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.65)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:10.781870,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.65)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:12.461196,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.65)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:14.261759,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.4)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:16.074240,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.4)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:17.804783,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.4)","(10.0, 13.5, 12.5)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
06-01-2023 12:35:19.543232,"(2.7, 3.15, 3.0527777777777776)","(81.0, 220.0, 170.0)","(41.0, 170.0, 138.5)","(31.0, 70.0, 51.333333333333336)","(4.4, 5.7, 5.4)","(10.0, 13.5, 11.884615384615385)","(6.0, 7.8, 7.76)","(31.0, 180.0, 126.4)","(6.0, 9.0, 8.11111111111111)","(71.0, 210.0, 152.5)","(11.0, 18.0, 14.571428571428571)","(71.0, 210.0, 152.5)","(91.0, 120.0, 110.0)","(26.0, 70.0, 55.6)"
