,Elite Tommy,Lets Embrace,Button,Explosive Debt,Blue Demon,Ali Starr,Nobel Nigel,Impress Browning
06-01-2023 15:03:04.484936,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:05.561834,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:06.762168,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:07.916510,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:08.994930,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:10.271144,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 9.847368421052632)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:11.404958,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 54.79166666666667)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 9.847368421052632)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:12.586498,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 54.79166666666667)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 9.847368421052632)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:13.702078,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 54.79166666666667)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 9.847368421052632)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:14.815956,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 54.79166666666667)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 9.847368421052632)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:15.975714,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:17.119139,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:18.293172,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:19.415051,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:20.478947,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:21.480139,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
06-01-2023 15:03:22.550348,"(4.8, 7.0, 6.519230769230769)","(13.0, 26.0, 24.1875)","(21.0, 80.0, 59.666666666666664)","(9.0, 22.0, 11.0)","(2.8, 5.0, 3.752)","(6.5, 12.5, 10.23913043478261)","(5.5, 9.4, 8.82857142857143)","(5.5, 9.8, 8.923809523809524)"
