,Summer Classic,Sahara Castle,King Wylde,Summer Fiesta,Lornas Flying,Wallys Boy,Johnny Baha,Tuta Grizzly
04-01-2023 13:00:34.522748,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.2, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.7153846153846155)"
04-01-2023 13:00:35.644863,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.7153846153846155)"
04-01-2023 13:00:36.728133,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.7153846153846155)"
04-01-2023 13:00:37.710712,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:38.750786,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:39.883752,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:41.024923,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:42.178468,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:43.221177,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
04-01-2023 13:00:44.274011,"(71.0, 590.0, 148.33333333333331)","(6.5, 15.0, 12.225)","(3.3, 3.5, 3.0384615384615383)","(51.0, 330.0, 166.73684210526318)","(9.0, 20.0, 13.6)","(5.0, 8.8, 6.11764705882353)","(7.5, 13.0, 10.75)","(2.5, 4.6, 3.6980392156862747)"
