,Montabot,Namakwa,Our Rebel,Isabellas Spring,Bernies Tiger,Savvy Oak,Reflect The Stars,Suppression,Circling,General Wolffe
14-12-2022 14:32:28.561587,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.5, 16.394736842105264)","(21.0, 28.0, 26.176470588235293)","(3.9, 5.2, 4.99)","(31.0, 70.0, 58.0)","(8.5, 11.5, 11.05)","(5.0, 6.8, 6.7555555555555555)","(9.0, 12.0, 11.272727272727273)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.8)"
14-12-2022 14:32:29.732438,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.5, 16.394736842105264)","(21.0, 27.0, 27.058823529411764)","(3.9, 5.2, 4.99)","(31.0, 70.0, 58.0)","(8.5, 11.5, 11.05)","(5.0, 6.8, 6.7555555555555555)","(9.0, 12.0, 11.272727272727273)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.8)"
14-12-2022 14:32:30.955740,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.5, 16.394736842105264)","(21.0, 28.0, 25.333333333333332)","(3.9, 5.2, 4.99)","(31.0, 70.0, 54.0)","(8.5, 11.5, 11.05)","(5.0, 6.8, 6.7555555555555555)","(9.0, 12.0, 11.272727272727273)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.8)"
14-12-2022 14:32:32.099426,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.5, 16.394736842105264)","(21.0, 28.0, 25.333333333333332)","(3.9, 5.2, 4.99)","(31.0, 65.0, 52.333333333333336)","(8.5, 11.5, 11.05)","(5.0, 6.8, 6.7555555555555555)","(9.0, 12.0, 11.272727272727273)","(7.0, 8.8, 8.538461538461538)","(31.0, 42.0, 25.333333333333336)"
14-12-2022 14:32:33.481431,"(3.9, 4.8, 4.707142857142857)","(15.0, 17.5, 16.394736842105264)","(21.0, 30.0, 26.666666666666668)","(3.9, 5.2, 4.99)","(31.0, 65.0, 52.333333333333336)","(8.5, 11.5, 11.277777777777779)","(5.0, 6.8, 6.8545454545454545)","(9.0, 12.0, 11.272727272727273)","(7.0, 8.8, 8.52)","(31.0, 42.0, 35.875)"
14-12-2022 14:32:34.739936,"(3.9, 4.8, 4.707142857142857)","(15.0, 17.5, 16.394736842105264)","(21.0, 29.0, 24.5)","(3.9, 5.2, 4.99)","(31.0, 65.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 12.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 42.0, 35.66666666666667)"
14-12-2022 14:32:35.936529,"(3.9, 4.8, 4.721739130434782)","(15.0, 17.0, 16.625)","(21.0, 28.0, 26.833333333333336)","(3.9, 5.2, 5.072727272727273)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 42.0, 33.0)"
14-12-2022 14:32:37.190708,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.0, 16.625)","(21.0, 28.0, 26.833333333333336)","(3.9, 5.2, 5.072727272727273)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.928571428571429)","(7.0, 8.8, 8.52)","(31.0, 42.0, 33.0)"
14-12-2022 14:32:38.552841,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.0, 16.625)","(21.0, 28.0, 26.625)","(3.9, 5.2, 5.083333333333333)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.8)","(9.0, 11.0, 10.9)","(7.0, 8.8, 8.52)","(31.0, 42.0, 33.0)"
14-12-2022 14:32:39.749518,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.0, 16.625)","(21.0, 30.0, 26.625)","(3.9, 5.2, 5.083333333333333)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 42.0, 37.63636363636364)"
14-12-2022 14:32:41.022032,"(3.9, 4.8, 4.711111111111111)","(15.0, 17.0, 16.625)","(21.0, 30.0, 28.5)","(3.9, 5.2, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.75)"
14-12-2022 14:32:42.380045,"(3.9, 4.8, 4.711111111111111)","(15.0, 17.0, 16.625)","(21.0, 30.0, 25.2)","(3.9, 5.2, 5.125)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.75)"
14-12-2022 14:32:43.574553,"(3.9, 4.8, 4.705263157894737)","(15.0, 17.0, 16.625)","(21.0, 30.0, 25.5)","(3.9, 5.2, 5.15)","(31.0, 60.0, 53.0)","(8.5, 11.5, 11.357142857142858)","(5.0, 7.0, 6.836363636363636)","(9.0, 11.0, 10.857142857142858)","(7.0, 8.8, 8.52)","(31.0, 42.0, 30.75)"
