,Logan Street Lion,Worthily,Mahagoni,Lovely Esteem,Tavion Prince,Yukon,Dr Evil,First Light,Yggdrasil,Naval Seal
07-01-2023 16:05:51.955305,"(5.5, 7.6, 7.355102040816327)","(7.5, 9.4, 9.038216560509554)","(6.5, 7.8, 7.679518072289157)","(10.0, 12.5, 12.10969387755102)","(41.0, 65.0, 61.66666666666667)","(21.0, 27.0, 26.928571428571427)","(5.5, 6.4, 6.3578947368421055)","(5.5, 7.0, 6.709090909090909)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398947368421053)"
07-01-2023 16:05:53.369172,"(5.5, 7.6, 7.348837209302325)","(7.5, 9.4, 8.870000000000001)","(6.5, 7.8, 7.679518072289157)","(10.0, 13.0, 12.10969387755102)","(41.0, 65.0, 61.66666666666667)","(21.0, 27.0, 26.928571428571427)","(5.5, 6.4, 6.3578947368421055)","(5.5, 7.0, 6.709090909090909)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398947368421053)"
07-01-2023 16:05:55.001296,"(5.5, 7.2, 7.188571428571429)","(7.5, 9.4, 8.675)","(6.5, 7.8, 7.701123595505618)","(10.0, 13.0, 12.10997442455243)","(41.0, 65.0, 59.130434782608695)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.4, 6.3578947368421055)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398947368421053)"
07-01-2023 16:05:56.474487,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.675)","(6.5, 7.8, 7.672463768115942)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 60.0)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.4, 6.3578947368421055)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398947368421053)"
07-01-2023 16:05:57.910086,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.675)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.4, 6.190993377483444)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398994974874372)"
07-01-2023 16:05:59.373324,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.675)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.2, 6.190993377483444)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398994974874372)"
07-01-2023 16:06:00.773502,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.2, 6.191246684350133)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.398994974874372)"
07-01-2023 16:06:02.392729,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.2, 6.191246684350133)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.4, 7.4944237918215615)"
07-01-2023 16:06:03.858769,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.2, 6.393794076163611)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.6, 7.4944237918215615)"
07-01-2023 16:06:05.382688,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.4, 6.393794076163611)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.6, 7.4944237918215615)"
07-01-2023 16:06:06.743653,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.933333333333334)","(5.5, 6.4, 6.393794076163611)","(5.5, 7.0, 6.9)","(31.0, 42.0, 41.77777777777778)","(5.5, 7.6, 7.488188976377953)"
07-01-2023 16:06:08.139692,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.693975903614458)","(10.0, 13.0, 12.06199460916442)","(41.0, 65.0, 57.0)","(21.0, 27.0, 25.72972972972973)","(5.5, 6.4, 6.393794076163611)","(5.5, 7.0, 6.9)","(31.0, 42.0, 39.723076923076924)","(5.5, 7.6, 7.488188976377953)"
07-01-2023 16:06:09.289409,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.72972972972973)","(5.5, 6.4, 6.393794076163611)","(5.5, 7.0, 6.9)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.6, 7.488188976377953)"
07-01-2023 16:06:10.526774,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.716666666666667)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.72972972972973)","(5.5, 6.4, 6.393794076163611)","(5.5, 7.0, 6.593023255813953)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.6, 7.398913043478261)"
07-01-2023 16:06:11.845843,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.393794076163611)","(5.5, 6.6, 6.509401709401709)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:13.159714,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.393794076163611)","(5.5, 6.6, 6.509401709401709)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:14.598501,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.393794076163611)","(5.5, 6.6, 6.510344827586207)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:15.946745,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:17.513832,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:18.867729,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:20.273928,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.743589743589745)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:21.962048,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.726027397260275)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:23.212174,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 7.8, 7.7214285714285715)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:24.468782,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:25.761448,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:27.031414,"(5.5, 7.6, 7.230769230769231)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:28.237733,"(5.5, 7.6, 7.188571428571429)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:29.647163,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:30.920562,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:32.140800,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:33.471028,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.06199460916442)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:34.792467,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:36.056913,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:37.390286,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:38.586121,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398913043478261)"
07-01-2023 16:06:39.861509,"(5.5, 7.6, 7.363934426229508)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.478632478632479)"
07-01-2023 16:06:41.132928,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.6, 7.478632478632479)"
07-01-2023 16:06:42.426868,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.6, 7.478632478632479)"
07-01-2023 16:06:43.697639,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.6, 7.478632478632479)"
07-01-2023 16:06:44.947082,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.6, 7.478632478632479)"
07-01-2023 16:06:46.196463,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:47.477428,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 39.723076923076924)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:48.818625,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.733333333333334)","(6.5, 8.0, 7.718260869565217)","(10.0, 13.0, 12.064516129032258)","(41.0, 60.0, 57.0)","(21.0, 26.0, 25.834710743801654)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 40.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:50.107015,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.716666666666667)","(6.5, 8.0, 7.647826086956521)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
07-01-2023 16:06:51.467178,"(5.5, 7.6, 7.4363636363636365)","(7.5, 8.8, 8.791935483870969)","(6.5, 8.0, 7.647826086956521)","(10.0, 13.0, 12.064516129032258)","(41.0, 65.0, 61.05263157894737)","(21.0, 27.0, 26.88235294117647)","(5.5, 6.4, 6.391036414565827)","(5.5, 6.6, 6.576470588235294)","(31.0, 42.0, 41.92982456140351)","(5.5, 7.4, 7.398780487804879)"
