,Patricias Pride,Tumbling Dice,Burned,Magistrate,Cheeky Willow,Godges,Tequila Worm,Really Royal
10-01-2023 16:55:47.582065,"(61.0, 550.0, 495.55555555555554)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 1.9, 1.6241666666666668)","(21.0, 90.0, 48.125)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:48.621513,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 48.125)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:49.739261,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:50.788410,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:52.047623,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:53.195044,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:54.277366,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:55.607543,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:56.889147,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:58.172311,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:55:59.289967,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:00.358823,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.6241666666666668)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:01.538217,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5982608695652174)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:02.713440,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.6000000000000005)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 36.25)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:03.806389,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:04.906462,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:05.982141,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:07.029643,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:08.060372,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:09.107630,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:10.302493,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:11.489032,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:12.644330,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:13.768615,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:14.906083,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:16.037965,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:17.126167,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:18.199462,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:19.250489,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:20.350020,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:21.358938,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:22.417928,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:23.478090,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:24.544994,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:25.610736,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:26.752365,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:27.772464,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:28.781810,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:29.835570,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:30.914981,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 10.353846153846154)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:32.031011,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 10.218181818181819)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:33.148997,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:34.232675,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:35.294503,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:36.408210,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:37.466593,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:38.522289,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 65.0)","(19.0, 55.0, 34.16666666666667)","(6.5, 17.0, 8.54)","(101.0, 730.0, 621.6666666666666)"
10-01-2023 16:56:39.574275,"(61.0, 550.0, 468.33333333333337)","(4.2, 7.2, 4.355555555555555)","(7.0, 15.5, 8.4125)","(1.55, 2.22, 1.5866666666666667)","(21.0, 90.0, 40.54545454545455)","(19.0, 55.0, 30.0)","(6.5, 17.0, 8.54)","(101.0, 730.0, 665.0)"
