,Jalapeno Lad,Aston Chaffy,Just Buffy,Emerley Sharon,Oda May,Magic Ebbs
08-01-2023 18:26:41.065763,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.95)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:42.236202,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.95)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:43.311507,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6642857142857146)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:44.455932,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:45.558977,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:46.563056,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:47.640337,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:48.803726,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:49.997811,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
08-01-2023 18:26:51.220151,"(4.6, 7.4, 7.094736842105264)","(3.5, 4.2, 3.6166666666666667)","(3.4, 5.4, 4.9)","(5.5, 8.2, 7.5249999999999995)","(4.8, 11.5, 5.772727272727273)","(10.0, 28.0, 25.5)"
