,Goldstar Linda,Know Ratio,Smash Wave,Maisey,Ohoka Torey,Epic Blossom,Mine Hunter,Goldstar Ange
05-01-2023 16:40:37.061150,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:38.287169,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:39.548333,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:40.732161,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:41.908503,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:43.034672,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:44.158484,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:45.359637,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:46.497127,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:47.657909,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:48.856376,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:50.024938,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:51.135840,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:52.224077,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:53.459947,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:54.739250,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:56.064039,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:57.367461,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:58.708163,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:40:59.764324,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:00.899591,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:02.049694,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:03.226784,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:04.366629,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:05.516888,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:06.757081,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:07.878336,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:09.083855,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:10.244802,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:11.484912,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:12.602857,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:13.670634,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:14.779246,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:15.960782,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:17.147468,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:18.304639,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:19.441383,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:20.553557,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:21.712347,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:22.881443,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:24.094588,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:25.353780,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:26.547758,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:27.647347,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:28.737494,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:29.816600,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:30.955472,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:32.072292,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:33.189078,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:34.333669,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:35.457917,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:36.534995,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:37.715172,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:38.926643,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:40.115257,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:41.370638,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:42.584149,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
05-01-2023 16:41:43.740160,"(1.75, 2.8, 2.6586274509803918)","(12.0, 30.0, 27.5625)","(3.3, 5.4, 4.563636363636364)","(21.0, 120.0, 66.52941176470588)","(31.0, 210.0, 128.1818181818182)","(11.0, 26.0, 24.2)","(16.0, 90.0, 84.60714285714286)","(8.0, 16.0, 14.676923076923078)"
