,Hardin,Rocket Ballad,Cristiano Boy,Chartered Course,Comeonturnmeloose,Colonial Road,Mister Deeks
06-01-2023 10:29:40.636491,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:41.701604,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:42.736228,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:43.733537,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:44.728190,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:45.682453,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:46.617283,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:47.575886,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:48.544319,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
06-01-2023 10:29:49.545852,"(26.0, 230.0, 175.0)","(11.0, 230.0, 186.0)","(6.0, 230.0, 174.2)","(7.0, 230.0, 174.5)","(3.0, 230.0, 173.3625)","(16.0, 230.0, 175.0)","(2.5, 230.0, 173.23)"
