,Elarski,Persian Beauty,Crossfire Road,Vanilli,Nashian,Stryke Em Onesie,Kiara Diane
0,"[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 26, 201042), 21.0, 140.0]"
1,"[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 27, 318513), 21.0, 140.0]"
2,"[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 28, 450790), 21.0, 140.0]"
3,"[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 29, 566910), 21.0, 140.0]"
4,"[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 30, 714537), 21.0, 140.0]"
5,"[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 31, 843925), 21.0, 140.0]"
6,"[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 32, 966814), 21.0, 140.0]"
7,"[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 4.2, 7.6]","[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 34, 84669), 21.0, 140.0]"
8,"[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 4.2, 6.0]","[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 35, 195517), 21.0, 140.0]"
9,"[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 1.7, 1.89]","[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 8.5, 17.5]","[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 7.5, 8.2]","[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 4.2, 6.0]","[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 11.0, 27.0]","[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 21.0, 140.0]","[datetime.datetime(2022, 11, 28, 13, 33, 36, 313255), 21.0, 140.0]"
