,Bundy Chelle,Goddess Of War,Cosmic Franky,Bad Habits,Subzero Annie,Barbs Manda,Miss Tallowood,Gold On Black
14-12-2022 12:14:48.246675,"(2.7, 4.4, 3.44)","(18.0, 60.0, 44.54545454545455)","(3.0, 5.0, 3.44)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 59.5)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:49.417221,"(2.7, 4.4, 3.1555555555555554)","(18.0, 60.0, 44.54545454545455)","(3.0, 5.0, 3.44)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 59.5)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:50.597742,"(2.7, 4.4, 3.1555555555555554)","(18.0, 60.0, 44.54545454545455)","(3.0, 5.0, 3.3846153846153846)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 59.5)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:51.968836,"(2.7, 4.4, 3.1555555555555554)","(18.0, 60.0, 44.54545454545455)","(3.0, 5.0, 3.3846153846153846)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:53.219788,"(2.7, 4.4, 3.1555555555555554)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:54.400454,"(2.7, 4.4, 3.1555555555555554)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:55.710730,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 3.8181818181818183)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:57.035670,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 4.1781250000000005)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:58.354285,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 4.1781250000000005)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
14-12-2022 12:14:59.582637,"(2.7, 4.3, 3.4666666666666663)","(18.0, 60.0, 44.54545454545455)","(3.0, 4.9, 4.1781250000000005)","(12.0, 26.0, 18.266666666666666)","(21.0, 95.0, 50.625)","(71.0, 580.0, 155.0)","(11.0, 28.0, 24.700000000000003)","(3.1, 4.5, 3.857142857142857)"
