,Remlaps Gem,Stampe,Simply Fly,Le Palmier,The Bopper,Belieber,Desert Man,Renegade,Superare,Archers Paradox,Princess Lunar,Streaka,Dream Weaving,Mishani Fraudster
07-01-2023 13:59:03.777621,"(8.5, 10.5, 10.32876712328767)","(51.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.665538461538461)","(2.25, 2.44, 2.432429328621908)","(61.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.55)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(17.0, 19.5, 19.367796610169492)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(61.0, 110.0, 106.94444444444444)","(91.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:05.641048,"(8.5, 10.5, 10.32876712328767)","(51.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.67810320781032)","(2.25, 2.44, 2.4326699684826654)","(61.0, 75.0, 70.27777777777777)","(15.0, 18.0, 17.672727272727272)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(17.0, 19.5, 19.367796610169492)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(61.0, 110.0, 106.94444444444444)","(91.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:07.540758,"(8.5, 10.5, 10.32876712328767)","(51.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.25, 2.44, 2.4326699684826654)","(61.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(17.0, 19.5, 19.367796610169492)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(61.0, 110.0, 106.94444444444444)","(91.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:09.358642,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.432636815920398)","(51.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(16.0, 19.5, 19.367796610169492)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:11.171703,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.432636815920398)","(51.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(16.0, 19.5, 19.37171052631579)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:12.941579,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.432636815920398)","(51.0, 75.0, 70.27777777777777)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(16.0, 19.5, 19.37171052631579)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:14.628355,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.432636815920398)","(51.0, 75.0, 70.27777777777777)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(16.0, 19.5, 19.37171052631579)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:16.270755,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.432636815920398)","(51.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(16.0, 19.5, 19.37171052631579)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:17.834519,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.432636815920398)","(51.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 74.0909090909091)","(16.0, 19.5, 19.37171052631579)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:19.758109,"(8.5, 10.5, 10.32876712328767)","(41.0, 55.0, 51.306569343065696)","(15.0, 18.0, 17.86216216216216)","(6.0, 6.8, 6.679448275862069)","(2.3, 2.44, 2.4325865209471766)","(51.0, 75.0, 69.87179487179488)","(15.0, 18.0, 17.65714285714286)","(101.0, 260.0, 244.0)","(51.0, 75.0, 73.33333333333333)","(16.0, 19.5, 19.342424242424244)","(1.01, 99999, 99990)","(8.0, 9.2, 9.00536912751678)","(51.0, 110.0, 106.94444444444444)","(81.0, 150.0, 136.15384615384616)"
07-01-2023 13:59:21.453036,"(8.0, 10.5, 10.32876712328767)","(41.0, 55.0, 51.31617647058823)","(15.0, 18.0, 17.86914600550964)","(6.0, 6.8, 6.699420625724217)","(2.3, 2.44, 2.4326591422121897)","(51.0, 75.0, 70.42857142857143)","(15.0, 18.0, 17.665)","(101.0, 260.0, 254.28571428571428)","(51.0, 75.0, 71.42857142857143)","(16.0, 19.5, 19.342424242424244)","(1.01, 99999, 99990)","(8.0, 9.2, 9.005714285714285)","(51.0, 110.0, 107.3529411764706)","(81.0, 150.0, 141.42857142857142)"
07-01-2023 13:59:23.160097,"(8.0, 10.5, 10.32876712328767)","(41.0, 55.0, 51.31617647058823)","(15.0, 18.0, 17.86914600550964)","(6.0, 6.8, 6.699420625724217)","(2.3, 2.44, 2.4326591422121897)","(51.0, 75.0, 70.42857142857143)","(15.0, 18.0, 17.665)","(101.0, 260.0, 254.28571428571428)","(51.0, 80.0, 71.42857142857143)","(16.0, 19.5, 19.346607669616517)","(1.01, 99999, 99990)","(8.0, 9.2, 9.005714285714285)","(51.0, 110.0, 107.3529411764706)","(81.0, 150.0, 141.42857142857142)"
07-01-2023 13:59:24.969307,"(8.0, 10.5, 10.32876712328767)","(41.0, 55.0, 51.31617647058823)","(15.0, 18.0, 17.86914600550964)","(6.0, 6.8, 6.69828178694158)","(2.3, 2.44, 2.4326591422121897)","(51.0, 75.0, 70.42857142857143)","(15.0, 18.0, 17.665)","(101.0, 260.0, 254.28571428571428)","(51.0, 80.0, 71.42857142857143)","(16.0, 19.5, 19.284415584415584)","(1.01, 99999, 99990)","(8.0, 9.2, 9.005714285714285)","(51.0, 110.0, 107.3529411764706)","(81.0, 150.0, 141.42857142857142)"
07-01-2023 13:59:26.640878,"(8.0, 10.5, 10.32876712328767)","(41.0, 55.0, 51.31617647058823)","(15.0, 18.0, 17.86914600550964)","(6.0, 6.8, 6.69828178694158)","(2.3, 2.44, 2.4326591422121897)","(51.0, 75.0, 70.42857142857143)","(15.0, 18.0, 17.711206896551722)","(101.0, 260.0, 254.28571428571428)","(51.0, 80.0, 71.42857142857143)","(16.0, 19.5, 19.321114369501466)","(1.01, 99999, 99990)","(8.0, 9.2, 9.005714285714285)","(51.0, 110.0, 107.3529411764706)","(81.0, 150.0, 141.42857142857142)"
07-01-2023 13:59:28.363861,"(8.0, 10.5, 10.32876712328767)","(41.0, 55.0, 51.31617647058823)","(15.0, 18.0, 17.86914600550964)","(6.0, 6.8, 6.69828178694158)","(2.3, 2.44, 2.4331890874882407)","(51.0, 75.0, 70.42857142857143)","(15.0, 18.0, 17.85)","(101.0, 260.0, 254.28571428571428)","(51.0, 80.0, 71.42857142857143)","(16.0, 19.5, 19.312857142857144)","(1.01, 99999, 99990)","(8.0, 9.2, 9.005714285714285)","(51.0, 110.0, 107.90697674418604)","(81.0, 150.0, 141.42857142857142)"
