,Galactic Ruler,Yankeedelight Nz,Make Your Mark,Rodger James,Elli Mirando,Goodonya Mate,Bettor Move Along,Batavia Reactor,Star Lilly,Happy Dayz
11-01-2023 19:31:39.632269,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.6, 3.4633333333333334)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 82.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:31:41.420491,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.6, 3.4633333333333334)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.628571428571428)","(91.0, 170.0, 140.0)","(31.0, 100.0, 82.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:31:43.230911,"(6.5, 12.5, 10.057142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.6, 3.2)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 82.0)","(51.0, 160.0, 128.33333333333334)"
11-01-2023 19:31:44.662366,"(6.5, 12.0, 10.057142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.6, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 82.0)","(51.0, 160.0, 100.0)"
11-01-2023 19:31:46.148082,"(6.5, 12.0, 10.057142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 3.15)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 82.0)","(51.0, 160.0, 100.0)"
11-01-2023 19:31:47.724906,"(6.5, 12.0, 10.057142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.5, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 82.0)","(51.0, 160.0, 100.0)"
11-01-2023 19:31:49.191442,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:31:50.611349,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:31:52.084493,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:31:53.533058,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:31:55.007760,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
11-01-2023 19:31:56.477212,"(6.5, 12.5, 10.27142857142857)","(14.0, 99999, 99990)","(2.8, 2.92, 2.8533333333333335)","(12.0, 18.0, 16.333333333333332)","(2.3, 3.55, 2.9875)","(26.0, 65.0, 47.0)","(9.0, 15.5, 14.7375)","(91.0, 170.0, 140.0)","(31.0, 100.0, 80.0)","(51.0, 160.0, 126.0)"
