,Clark,My Boy Charlott,Hosey Sidekick,Factory Flyer,Ripper Reiko,Shaka Big Tonks,Spring Tune,Call Me Kiah
14-12-2022 18:43:48.400157,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 34.333333333333336)","(6.5, 11.0, 8.4)","(15.0, 48.0, 26.0)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:49.520637,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 34.333333333333336)","(6.5, 11.0, 8.4)","(15.0, 48.0, 26.0)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:50.864492,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 48.0, 35.11538461538461)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:51.902971,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 48.0, 35.11538461538461)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:52.909551,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 48.0, 35.11538461538461)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:54.063833,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 48.0, 35.11538461538461)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:55.190220,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:56.253629,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(16.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:57.237993,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(16.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:58.260722,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(16.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:43:59.270207,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:00.259048,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:01.369468,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:02.469156,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 6.46)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:03.583312,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:04.603384,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:05.572125,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:06.558395,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:07.638475,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:08.572524,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:09.517243,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:10.473599,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.219642857142857)"
14-12-2022 18:44:11.417901,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.4307692307692306)"
14-12-2022 18:44:12.351077,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.4307692307692306)"
14-12-2022 18:44:13.279362,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.4307692307692306)"
14-12-2022 18:44:14.207100,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.4307692307692306)"
14-12-2022 18:44:15.191144,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 7.944444444444445)","(21.0, 65.0, 39.44444444444444)","(6.5, 11.0, 8.4)","(15.0, 55.0, 39.42307692307692)","(6.5, 14.5, 7.237500000000001)","(5.0, 11.5, 10.646666666666667)","(2.9, 3.8, 3.4307692307692306)"
14-12-2022 18:44:16.207224,"(5.5, 9.6, 7.085714285714285)","(5.5, 11.0, 8.166666666666666)","(21.0, 65.0, 43.888888888888886)","(6.5, 11.0, 7.75)","(15.0, 55.0, 34.25)","(6.5, 14.5, 8.8)","(5.0, 11.5, 10.57857142857143)","(2.9, 3.8, 3.517777777777778)"
14-12-2022 18:44:17.160914,"(5.5, 9.6, 6.5285714285714285)","(5.5, 11.5, 6.583333333333333)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.0, 7.6000000000000005)","(15.0, 55.0, 27.666666666666664)","(6.5, 14.0, 11.4)","(5.0, 11.0, 9.066666666666666)","(2.9, 3.6, 3.517777777777778)"
