,Paddy Hayze,Capacitor,Striking Stare,Be The Best,Atomic Len,Vibranium,Nomad Road
06-01-2023 12:52:48.817748,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:49.792659,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:50.963307,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:52.162649,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:53.185605,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:54.290994,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:55.417721,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:56.513968,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:57.675940,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:58.810669,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:52:59.773136,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:00.795036,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:01.783166,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:02.789037,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:03.805475,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:04.895611,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:05.964119,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:07.050896,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:08.164020,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:09.229895,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:10.326320,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
06-01-2023 12:53:11.483984,"(2.35, 3.95, 2.4224324324324322)","(15.0, 46.0, 40.285714285714285)","(18.0, 60.0, 40.22727272727273)","(4.6, 8.8, 4.807142857142857)","(2.2, 2.94, 2.2822222222222224)","(81.0, 610.0, 340.0)","(15.0, 46.0, 40.48275862068965)"
