,Dasha Tullamore,Burnt Brother,Phantom Jasper,Stormy Paradise,Sunset Charlie,Kingsbrae Archie,Liar For Hire,Dixie Kath
15-12-2022 13:03:37.365115,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 9.128571428571428)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:38.498806,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 8.7)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:39.569942,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 8.7)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:40.629093,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 8.7)","(2.5, 4.0, 2.9200000000000004)"
15-12-2022 13:03:41.740408,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.2, 5.192857142857143)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 8.7)","(2.5, 4.0, 2.8533333333333335)"
15-12-2022 13:03:42.767302,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 82.33333333333333)","(2.7, 4.3, 3.436)","(4.0, 6.6, 5.421428571428571)","(21.0, 90.0, 56.0)","(15.0, 55.0, 38.958333333333336)","(6.5, 12.5, 7.46)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:43.824244,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 38.958333333333336)","(6.5, 12.5, 9.353333333333333)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:44.874751,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 38.958333333333336)","(6.5, 12.5, 7.9399999999999995)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:45.971335,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 7.9399999999999995)","(2.5, 4.1, 2.8533333333333335)"
15-12-2022 13:03:47.042044,"(81.0, 580.0, 496.66666666666663)","(21.0, 110.0, 68.5)","(2.7, 4.3, 3.436)","(4.0, 6.4, 5.21)","(21.0, 90.0, 56.0)","(15.0, 55.0, 36.0)","(6.5, 12.5, 7.9399999999999995)","(2.5, 4.1, 2.8533333333333335)"
