,Quested Bale,Flying Redeemer,Fabs Wasabi,Break The Clouds,Miss Daisy Lee,Coppola Bale,Heavy Load,Lowick Bale
07-12-2022 18:42:13.837773,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:15.195200,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:16.456739,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:17.706445,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:19.004005,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:20.305398,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:21.780145,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:23.206096,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:24.538238,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:25.771196,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
07-12-2022 18:42:27.043284,"(3.0, 6.2, 4.124074074074074)","(2.4, 3.6, 3.0816)","(9.0, 17.5, 13.0)","(17.0, 48.0, 42.5)","(12.0, 36.0, 28.0)","(31.0, 240.0, 151.66666666666669)","(21.0, 55.0, 35.0)","(3.9, 6.8, 4.4)"
