,The Girls Have It,Lara Tiara,Rose Of Juliana,Krafty Boy,Chelseas Girl,Karinya Max,Kulani Courage,Preacher Quince,Limousine Cheeky
11-01-2023 19:29:04.865725,"(3.2, 6.2, 5.9625)","(6.5, 9.6, 8.8)","(21.0, 34.0, 23.72222222222222)","(14.0, 24.0, 20.2)","(6.0, 9.4, 8.3)","(12.0, 19.0, 16.0625)","(5.0, 7.2, 6.4)","(5.0, 8.0, 7.410526315789474)","(10.0, 19.0, 14.0)"
11-01-2023 19:29:06.172623,"(3.2, 6.2, 5.7681818181818185)","(6.5, 9.6, 8.899999999999999)","(21.0, 34.0, 22.9)","(14.0, 23.0, 18.625)","(6.0, 9.4, 9.95)","(12.0, 18.5, 14.954545454545455)","(5.0, 7.0, 6.574999999999999)","(5.0, 8.0, 7.410526315789474)","(10.0, 18.5, 15.875)"
11-01-2023 19:29:07.560895,"(3.2, 6.2, 5.7681818181818185)","(6.5, 9.8, 8.866666666666667)","(21.0, 34.0, 22.9)","(14.0, 23.0, 19.6)","(6.0, 10.5, 8.7)","(12.0, 18.5, 16.285714285714285)","(5.0, 6.8, 6.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 15.875)"
11-01-2023 19:29:08.903336,"(3.2, 6.2, 5.075)","(6.5, 9.8, 8.866666666666667)","(21.0, 34.0, 22.9)","(14.0, 22.0, 18.25)","(6.0, 10.5, 8.378571428571428)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:10.197367,"(3.2, 6.2, 5.670588235294118)","(6.5, 9.8, 8.866666666666667)","(21.0, 34.0, 22.9)","(14.0, 22.0, 18.25)","(6.0, 10.5, 8.378571428571428)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.3999999999999995)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:11.563468,"(3.2, 6.2, 5.633333333333333)","(6.5, 9.8, 8.866666666666667)","(21.0, 34.0, 22.9)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.378571428571428)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:13.015844,"(3.2, 6.2, 5.916666666666667)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 22.9)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.378571428571428)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:14.528347,"(3.2, 6.2, 5.916666666666667)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 22.9)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.378571428571428)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:15.987605,"(3.2, 6.2, 5.916666666666667)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 22.9)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.378571428571428)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:17.412582,"(3.2, 6.2, 5.2)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 22.9)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.116666666666667)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:18.811694,"(3.2, 6.2, 5.783333333333333)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 22.9)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.116666666666667)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
11-01-2023 19:29:20.221167,"(3.2, 6.2, 5.783333333333333)","(6.5, 9.8, 9.177777777777777)","(21.0, 34.0, 26.07142857142857)","(14.0, 22.0, 19.272727272727273)","(6.0, 10.5, 8.6)","(12.0, 18.0, 15.0)","(5.0, 6.6, 6.178947368421053)","(5.0, 8.0, 7.410526315789474)","(10.0, 17.5, 14.545454545454547)"
